/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 15.0 | Polciy Loss: -1.4533696174621582 | Steps: 15
Episode: 2 | Reward: 11.0 | Polciy Loss: -2.9473366737365723 | Steps: 26
Episode: 3 | Reward: 26.0 | Polciy Loss: -2.660749912261963 | Steps: 52
Episode: 4 | Reward: 19.0 | Polciy Loss: -2.6774933338165283 | Steps: 71
Episode: 5 | Reward: 10.0 | Polciy Loss: -2.6664209365844727 | Steps: 81
Episode: 6 | Reward: 12.0 | Polciy Loss: -2.8104684352874756 | Steps: 93
Episode: 7 | Reward: 13.0 | Polciy Loss: -2.9181313514709473 | Steps: 106
Episode: 8 | Reward: 9.0 | Polciy Loss: -2.943895101547241 | Steps: 115
Episode: 9 | Reward: 10.0 | Polciy Loss: -3.077526092529297 | Steps: 125
Episode: 10 | Reward: 10.0 | Polciy Loss: -3.153470039367676 | Steps: 135
Episode: 11 | Reward: 13.0 | Polciy Loss: -3.30667781829834 | Steps: 148
Episode: 12 | Reward: 15.0 | Polciy Loss: -3.456061363220215 | Steps: 163
Episode: 13 | Reward: 19.0 | Polciy Loss: -3.629749059677124 | Steps: 182
Episode: 14 | Reward: 14.0 | Polciy Loss: -3.808927059173584 | Steps: 196
Episode: 15 | Reward: 26.0 | Polciy Loss: -4.119137763977051 | Steps: 222
Episode: 16 | Reward: 14.0 | Polciy Loss: -4.219793319702148 | Steps: 236
Episode: 17 | Reward: 43.0 | Polciy Loss: -4.646244049072266 | Steps: 279
Episode: 18 | Reward: 10.0 | Polciy Loss: -4.786888122558594 | Steps: 289
Episode: 19 | Reward: 18.0 | Polciy Loss: -5.009840965270996 | Steps: 307
Episode: 20 | Reward: 16.0 | Polciy Loss: -5.286674499511719 | Steps: 323
Episode: 21 | Reward: 10.0 | Polciy Loss: -5.318466663360596 | Steps: 333
Episode: 22 | Reward: 10.0 | Polciy Loss: -5.482168674468994 | Steps: 343
Episode: 23 | Reward: 10.0 | Polciy Loss: -5.566205024719238 | Steps: 353
Episode: 24 | Reward: 10.0 | Polciy Loss: -5.756680488586426 | Steps: 363
Episode: 25 | Reward: 17.0 | Polciy Loss: -5.886631011962891 | Steps: 380
Episode: 26 | Reward: 8.0 | Polciy Loss: -5.923757076263428 | Steps: 388
Episode: 27 | Reward: 13.0 | Polciy Loss: -6.007389068603516 | Steps: 401
Episode: 28 | Reward: 11.0 | Polciy Loss: -6.204502105712891 | Steps: 412
Episode: 29 | Reward: 9.0 | Polciy Loss: -6.183384418487549 | Steps: 421
Episode: 30 | Reward: 8.0 | Polciy Loss: -6.254466533660889 | Steps: 429
Episode: 31 | Reward: 10.0 | Polciy Loss: -6.551411151885986 | Steps: 439
Episode: 32 | Reward: 16.0 | Polciy Loss: -6.534389495849609 | Steps: 455
Episode: 33 | Reward: 16.0 | Polciy Loss: -6.81143045425415 | Steps: 471
Episode: 34 | Reward: 63.0 | Polciy Loss: -7.369729518890381 | Steps: 534
Episode: 35 | Reward: 12.0 | Polciy Loss: -7.6017608642578125 | Steps: 546
Episode: 36 | Reward: 69.0 | Polciy Loss: -8.488936424255371 | Steps: 615
Episode: 37 | Reward: 21.0 | Polciy Loss: -8.651508331298828 | Steps: 636
Episode: 38 | Reward: 92.0 | Polciy Loss: -9.295782089233398 | Steps: 728
Episode: 39 | Reward: 164.0 | Polciy Loss: -10.961763381958008 | Steps: 892
Episode: 40 | Reward: 184.0 | Polciy Loss: -12.369476318359375 | Steps: 1076
Episode: 41 | Reward: 200.0 | Polciy Loss: -14.26810359954834 | Steps: 1276
