/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 1 | Reward: 10.0 | Policy Loss: -0.7122491002082825 | critic Loss: 3.015812635421753 | Steps: 10
Episode: 2 | Reward: 15.0 | Policy Loss: -0.7832050919532776 | critic Loss: 2.7682840824127197 | Steps: 25
Episode: 3 | Reward: 15.0 | Policy Loss: -0.8697330951690674 | critic Loss: 2.5481748580932617 | Steps: 40
Episode: 4 | Reward: 13.0 | Policy Loss: -0.9922166466712952 | critic Loss: 2.2672109603881836 | Steps: 53
Episode: 5 | Reward: 13.0 | Policy Loss: -1.19899320602417 | critic Loss: 1.794414758682251 | Steps: 66
Episode: 6 | Reward: 17.0 | Policy Loss: -1.6231703758239746 | critic Loss: 1.1229735612869263 | Steps: 83
Episode: 7 | Reward: 20.0 | Policy Loss: -2.22265887260437 | critic Loss: 0.6204401254653931 | Steps: 103
Episode: 8 | Reward: 21.0 | Policy Loss: -2.7414815425872803 | critic Loss: 0.5779502391815186 | Steps: 124
Episode: 9 | Reward: 9.0 | Policy Loss: -3.005915880203247 | critic Loss: 0.8953827619552612 | Steps: 133
Episode: 10 | Reward: 10.0 | Policy Loss: -3.1175570487976074 | critic Loss: 0.7769657373428345 | Steps: 143
Episode: 11 | Reward: 9.0 | Policy Loss: -3.3359293937683105 | critic Loss: 0.909399151802063 | Steps: 152
Episode: 12 | Reward: 9.0 | Policy Loss: -3.5383670330047607 | critic Loss: 0.8589073419570923 | Steps: 161
Episode: 13 | Reward: 9.0 | Policy Loss: -3.679421901702881 | critic Loss: 1.2655386924743652 | Steps: 170
Episode: 14 | Reward: 10.0 | Policy Loss: -3.811553955078125 | critic Loss: 1.1656612157821655 | Steps: 180
Episode: 15 | Reward: 8.0 | Policy Loss: -3.996490955352783 | critic Loss: 0.8125725388526917 | Steps: 188
Episode: 16 | Reward: 9.0 | Policy Loss: -4.22165584564209 | critic Loss: 1.4673411846160889 | Steps: 197
Episode: 17 | Reward: 10.0 | Policy Loss: -4.122008800506592 | critic Loss: 1.0359792709350586 | Steps: 207
Episode: 18 | Reward: 10.0 | Policy Loss: -4.450251579284668 | critic Loss: 1.2930411100387573 | Steps: 217
Episode: 19 | Reward: 9.0 | Policy Loss: -4.659158706665039 | critic Loss: 1.6161867380142212 | Steps: 226
Episode: 20 | Reward: 8.0 | Policy Loss: -4.7642388343811035 | critic Loss: 1.8005331754684448 | Steps: 234
Episode: 21 | Reward: 9.0 | Policy Loss: -4.898353576660156 | critic Loss: 2.126732110977173 | Steps: 243
Episode: 22 | Reward: 9.0 | Policy Loss: -4.933239936828613 | critic Loss: 1.3294987678527832 | Steps: 252
Episode: 23 | Reward: 9.0 | Policy Loss: -5.138293266296387 | critic Loss: 1.6962095499038696 | Steps: 261
Episode: 24 | Reward: 10.0 | Policy Loss: -5.392638683319092 | critic Loss: 1.351693034172058 | Steps: 271
Episode: 25 | Reward: 10.0 | Policy Loss: -5.427879810333252 | critic Loss: 2.0054519176483154 | Steps: 281
Episode: 26 | Reward: 8.0 | Policy Loss: -5.431645393371582 | critic Loss: 1.7960963249206543 | Steps: 289
Episode: 27 | Reward: 9.0 | Policy Loss: -5.649941444396973 | critic Loss: 1.7103650569915771 | Steps: 298
Episode: 28 | Reward: 10.0 | Policy Loss: -5.658268928527832 | critic Loss: 2.005413770675659 | Steps: 308
Episode: 29 | Reward: 9.0 | Policy Loss: -5.839235305786133 | critic Loss: 1.8858113288879395 | Steps: 317
Episode: 30 | Reward: 9.0 | Policy Loss: -6.112222194671631 | critic Loss: 1.670636534690857 | Steps: 326
Episode: 31 | Reward: 9.0 | Policy Loss: -6.031912803649902 | critic Loss: 1.9553992748260498 | Steps: 335
Episode: 32 | Reward: 10.0 | Policy Loss: -6.286027431488037 | critic Loss: 2.438582420349121 | Steps: 345
Episode: 33 | Reward: 10.0 | Policy Loss: -6.267702102661133 | critic Loss: 1.9838666915893555 | Steps: 355
Episode: 34 | Reward: 9.0 | Policy Loss: -6.356101989746094 | critic Loss: 1.3805935382843018 | Steps: 364
Episode: 35 | Reward: 9.0 | Policy Loss: -6.548961639404297 | critic Loss: 2.49552321434021 | Steps: 373
Episode: 36 | Reward: 10.0 | Policy Loss: -6.572254657745361 | critic Loss: 1.91835618019104 | Steps: 383
Episode: 37 | Reward: 10.0 | Policy Loss: -6.610537528991699 | critic Loss: 1.8541419506072998 | Steps: 393
Episode: 38 | Reward: 8.0 | Policy Loss: -6.757096767425537 | critic Loss: 2.3183414936065674 | Steps: 401
Episode: 39 | Reward: 10.0 | Policy Loss: -6.778986930847168 | critic Loss: 2.3612468242645264 | Steps: 411
