env,data_size,tau,model,V_model,V_opt_tau_0.5,V_random,normalized_improvement
LunarLander-v2,0,0.1,optimal,133.03,149.62,-123.32,0.9392
LunarLander-v2,0,0.9,optimal,97.18,149.62,-123.32,0.8079
LunarLander-v2,1000,0.1,box,-411.3,149.62,-123.32,-1.0551
LunarLander-v2,1000,0.1,convex,41.43,149.62,-123.32,0.6036
LunarLander-v2,1000,0.1,epinet,-491.53,149.62,-123.32,-1.349
LunarLander-v2,1000,0.5,epinet,131.2,149.62,-123.32,0.9325
LunarLander-v2,1000,0.9,box,166.72,149.62,-123.32,1.0627
LunarLander-v2,1000,0.9,convex,-26.77,149.62,-123.32,0.3538
LunarLander-v2,1000,0.9,epinet,-148.98,149.62,-123.32,-0.094
LunarLander-v2,10000,0.1,box,202.56,149.62,-123.32,1.194
LunarLander-v2,10000,0.1,convex,104.12,149.62,-123.32,0.8333
LunarLander-v2,10000,0.1,ellipsoid,183.78,149.62,-123.32,1.1252
LunarLander-v2,10000,0.1,epinet,-57.16,149.62,-123.32,0.2424
LunarLander-v2,10000,0.9,box,70.3,149.62,-123.32,0.7094
LunarLander-v2,10000,0.9,convex,211.25,149.62,-123.32,1.2258
LunarLander-v2,10000,0.9,epinet,163.71,149.62,-123.32,1.0516
LunarLander-v2,100000,0.5,box,76.8,149.62,-123.32,0.7332
LunarLander-v2,100000,0.5,convex,-22.04,149.62,-123.32,0.3711
LunarLander-v2,100000,0.5,ellipsoid,-41.0,149.62,-123.32,0.3016
LunarLander-v2,100000,0.5,epinet,44.49,149.62,-123.32,0.6148
