env,data_size,tau,model,V_model,V_opt_tau_0.5,V_random,normalized_improvement
CartPole-v0,0,0.0,optimal,200.0,200.0,9.6,1.0
CartPole-v0,0,0.1,optimal,200.0,200.0,9.6,1.0
CartPole-v0,0,0.9,optimal,200.0,200.0,9.6,1.0
CartPole-v0,1000,0.01,box,200.0,200.0,9.6,1.0
CartPole-v0,1000,0.1,box,149.44,200.0,9.6,0.7344
CartPole-v0,1000,0.1,convex,143.13,200.0,9.6,0.7013
CartPole-v0,1000,0.1,ellipsoid,44.2,200.0,9.6,0.1817
CartPole-v0,1000,0.1,epinet,123.87,200.0,9.6,0.6001
CartPole-v0,1000,0.5,box,200.0,200.0,9.6,1.0
CartPole-v0,1000,0.5,convex,169.13,200.0,9.6,0.8379
CartPole-v0,1000,0.5,epinet,37.88,200.0,9.6,0.1485
CartPole-v0,1000,0.9,box,200.0,200.0,9.6,1.0
CartPole-v0,1000,0.9,convex,195.47,200.0,9.6,0.9762
CartPole-v0,1000,0.9,epinet,10.12,200.0,9.6,0.0027
CartPole-v0,10000,0.01,box,200.0,200.0,9.6,1.0
CartPole-v0,10000,0.1,box,200.0,200.0,9.6,1.0
CartPole-v0,10000,0.1,convex,188.93,200.0,9.6,0.9419
CartPole-v0,10000,0.1,epinet,89.73,200.0,9.6,0.4209
CartPole-v0,10000,0.5,box,200.0,200.0,9.6,1.0
CartPole-v0,10000,0.5,convex,200.0,200.0,9.6,1.0
CartPole-v0,10000,0.5,epinet,56.2,200.0,9.6,0.2447
CartPole-v0,10000,0.9,box,200.0,200.0,9.6,1.0
CartPole-v0,10000,0.9,convex,200.0,200.0,9.6,1.0
CartPole-v0,10000,0.9,epinet,60.4,200.0,9.6,0.2668
CartPole-v0,100000,0.01,box,125.53,200.0,9.6,0.6089
CartPole-v0,100000,0.1,box,172.0,200.0,9.6,0.8529
CartPole-v0,100000,0.1,convex,200.0,200.0,9.6,1.0
CartPole-v0,100000,0.1,epinet,11.82,200.0,9.6,0.0117
CartPole-v0,100000,0.5,box,200.0,200.0,9.6,1.0
CartPole-v0,100000,0.5,convex,191.87,200.0,9.6,0.9573
CartPole-v0,100000,0.5,ellipsoid,10.55,200.0,9.6,0.005
CartPole-v0,100000,0.5,epinet,9.46,200.0,9.6,-0.0007
CartPole-v0,100000,0.9,box,177.8,200.0,9.6,0.8834
CartPole-v0,100000,0.9,convex,200.0,200.0,9.6,1.0
CartPole-v0,100000,0.9,epinet,70.6,200.0,9.6,0.3204
