env,data_size,tau,model,V_model,V_opt_tau_0.5,V_random,normalized_improvement
LunarLander-v2,0,0.0,optimal,51.76,48.31,-102.37,1.0229
LunarLander-v2,0,0.1,optimal,114.77,48.31,-102.37,1.4411
LunarLander-v2,0,0.9,optimal,50.68,48.31,-102.37,1.0157
LunarLander-v2,1000,0.1,box,151.89,48.31,-102.37,1.6874
LunarLander-v2,1000,0.1,convex,100.54,48.31,-102.37,1.3466
LunarLander-v2,1000,0.5,box,91.4,48.31,-102.37,1.286
LunarLander-v2,1000,0.5,convex,112.33,48.31,-102.37,1.4248
LunarLander-v2,1000,0.9,box,84.58,48.31,-102.37,1.2407
LunarLander-v2,1000,0.9,convex,137.72,48.31,-102.37,1.5934
LunarLander-v2,10000,0.1,box,75.4,48.31,-102.37,1.1798
LunarLander-v2,10000,0.1,convex,120.95,48.31,-102.37,1.4821
LunarLander-v2,10000,0.5,box,-21.52,48.31,-102.37,0.5366
LunarLander-v2,10000,0.5,convex,101.16,48.31,-102.37,1.3507
LunarLander-v2,10000,0.9,box,50.7,48.31,-102.37,1.0158
LunarLander-v2,10000,0.9,convex,56.28,48.31,-102.37,1.0529
LunarLander-v2,100000,0.1,box,126.34,48.31,-102.37,1.5179
LunarLander-v2,100000,0.1,convex,141.4,48.31,-102.37,1.6178
LunarLander-v2,100000,0.5,box,79.38,48.31,-102.37,1.2062
LunarLander-v2,100000,0.5,convex,80.21,48.31,-102.37,1.2117
LunarLander-v2,100000,0.9,box,76.39,48.31,-102.37,1.1864
LunarLander-v2,100000,0.9,convex,121.39,48.31,-102.37,1.485
