Step,data_size: 100000 - entropy,data_size: 100000 - entropy__MIN,data_size: 100000 - entropy__MAX
0,0.69185099,0.691322267,0.692379713
1,0.692476928,0.692041576,0.692912281
2,0.69201085,0.691409886,0.692611814
3,0.691446722,0.690354407,0.692539036
4,0.690514624,0.688992202,0.692037046
5,0.689331323,0.687582493,0.691080153
6,0.689010561,0.689008236,0.689012885
7,0.687809408,0.685475826,0.690142989
8,0.686736196,0.681600928,0.691871464
9,0.68334806,0.67467463,0.692021489
10,0.679519355,0.667573214,0.691465497
11,0.675106943,0.660222292,0.689991593
12,0.671872199,0.656244516,0.687499881
13,0.66885677,0.653282285,0.684431255
14,0.671141386,0.659092605,0.683190167
15,0.672543555,0.662175477,0.682911634
16,0.67398873,0.664885163,0.683092296
17,0.679302335,0.672402978,0.686201692
18,0.68386665,0.679722607,0.688010693
19,0.686766624,0.683749914,0.689783335
20,0.689155161,0.687275946,0.691034377
21,0.690460712,0.689334989,0.691586435
22,0.691349596,0.691334546,0.691364646
23,0.691589087,0.691158891,0.692019284
24,0.690730661,0.689717948,0.691743374
25,0.689585984,0.688724279,0.690447688
26,0.688330173,0.688119233,0.688541114
27,0.686725885,0.686343431,0.687108338
28,0.684919894,0.682979941,0.686859846
29,0.683567673,0.680055618,0.687079728
30,0.681637287,0.676097929,0.687176645
31,0.678905308,0.671758533,0.686052084
32,0.676400095,0.667496562,0.685303628
33,0.675594121,0.664901674,0.686286569
34,0.674080819,0.662977457,0.685184181
35,0.675128222,0.663617671,0.686638772
36,0.674887776,0.662382245,0.687393308
37,0.675114572,0.663836241,0.686392903
38,0.67645511,0.665345848,0.687564373
39,0.677976876,0.668052197,0.687901556
40,0.679196745,0.670727074,0.687666416
41,0.681002378,0.67349118,0.688513577
42,0.682188511,0.676001608,0.688375413
43,0.683560669,0.678377986,0.688743353
44,0.684701949,0.680421114,0.688982785
45,0.685868859,0.682630539,0.68910718
46,0.68685481,0.684058368,0.689651251
47,0.686929584,0.684916198,0.688942969
48,0.686781347,0.685985088,0.687577605
49,0.686937809,0.686460614,0.687415004
51,0.68744266,0.687362194,0.687523127
52,0.687331051,0.686947703,0.687714398
53,0.686436653,0.684804857,0.688068449
54,0.686208069,0.684075177,0.688340962
55,0.685522079,0.682503879,0.68854028
56,0.686647177,0.684226751,0.689067602
57,0.686011612,0.682889521,0.689133704
58,0.685494483,0.681680381,0.689308584
59,0.685356289,0.681070089,0.689642489
60,0.684876055,0.679921746,0.689830363
61,0.684265524,0.678451538,0.69007951
62,0.683272183,0.676417351,0.690127015
63,0.683972865,0.677731335,0.690214396
64,0.684557378,0.678842247,0.69027251
65,0.682379633,0.674492002,0.690267265
66,0.685657382,0.680700064,0.6906147
67,0.685474634,0.680426955,0.690522313
68,0.685646921,0.680836141,0.690457702
69,0.684522182,0.678677261,0.690367103
70,0.686406434,0.682500243,0.690312624
71,0.685911119,0.681834996,0.689987242
72,0.686095506,0.682026505,0.690164506
73,0.685687125,0.68165189,0.689722359
74,0.686650187,0.68339175,0.689908624
75,0.685363352,0.681240082,0.689486623
76,0.686424941,0.683093429,0.689756453
77,0.68452847,0.679826021,0.689230919
