Step,data_size: 100000 - entropy,data_size: 100000 - entropy__MIN,data_size: 100000 - entropy__MAX
0,1.313715391,1.320027771,1.335806441
1,1.313910636,1.319573107,1.325493398
2,1.29343823,1.278539324,1.315638356
3,1.332428547,1.317021074,1.306017919
4,1.320567511,1.294299169,1.335830879
5,1.278589988,1.27148273,1.305132194
6,1.276049479,1.277897511,1.333991957
7,1.273025378,1.293569736,1.292328629
8,1.26996303,1.308784199,1.310327582
9,1.296522312,1.263145242,1.31759316
10,1.273438467,1.267823143,1.32473166
11,1.259254499,1.260634346,1.290809674
12,1.265082512,1.253389997,1.266170526
13,1.252866511,1.258330994,1.31280036
14,1.298861237,1.240898294,1.279099627
15,1.295126867,1.254224243,1.266953502
16,1.252996359,1.260096741,1.305825067
17,1.281582477,1.227971954,1.255029941
18,1.23867842,1.233428411,1.303210926
19,1.254422588,1.197075033,1.280035906
20,1.241011752,1.241028976,1.268441958
21,1.278978479,1.239059043,1.286116424
22,1.24654043,1.206531687,1.253276262
23,1.225794538,1.238866043,1.269866638
24,1.25061249,1.18072536,1.258206768
25,1.236216409,1.22463007,1.288353157
26,1.25126674,1.211719456,1.262030048
27,1.226923052,1.183967991,1.297468257
28,1.202378138,1.168683453,1.293505135
29,1.242678932,1.126216316,1.306776237
30,1.2097002,1.136864963,1.299138012
31,1.198107156,1.089473171,1.283380671
32,1.152747357,1.075994673,1.295700483
33,1.186406962,1.030355744,1.268191957
34,1.118635996,1.012537074,1.290213985
35,1.119595869,0.940319939,1.321719241
36,1.074169819,0.92019434,1.312367263
37,1.05326937,0.83687875,1.282091174
38,1.06894397,0.808565669,1.280978832
39,1.00593308,0.707186544,1.27157321
40,0.989688886,0.703286531,1.306123796
41,0.967484219,0.620150797,1.309048715
42,0.972384266,0.594037526,1.303275528
43,0.941173307,0.572328341,1.298855009
44,0.879984721,0.507551603,1.28596323
45,0.908136946,0.435852194,1.253219867
46,0.888225935,0.428492122,1.268853707
47,0.828270807,0.394218299,1.241181278
48,0.805684114,0.344148362,1.278463902
49,0.818794685,0.320987397,1.259857826
51,0.817876943,0.347388767,1.266879025
52,0.792970988,0.346826744,1.22664741
53,0.784500487,0.314870887,1.247478914
54,0.732420349,0.312294912,1.201142473
55,0.757061594,0.283693882,1.219993286
