"Step","data_size: 100000 - entropy","data_size: 100000 - entropy__MIN","data_size: 100000 - entropy__MAX"
"0","1.385052760442098","1.3844178915023804","1.3860790729522705"
"2","1.385526955127716","1.384822964668274","1.3861783742904663"
"3","1.3851818442344666","1.384311318397522","1.3860788345336914"
"4","1.3840522368748982","1.3828444480895996","1.385343074798584"
"5","1.3821945587793987","1.3804876804351807","1.3843162059783936"
"6","1.3794852097829182","1.3765883445739746","1.38325035572052"
"7","1.3759471376736958","1.3715150356292725","1.382102131843567"
"8","1.3713557720184326","1.365461826324463","1.3807318210601807"
"9","1.3658311168352764","1.3576468229293823","1.378921627998352"
"10","1.3585417071978252","1.348464012145996","1.3764219284057617"
"11","1.349677284558614","1.3370440006256104","1.3727151155471802"
"12","1.3385297656059265","1.3227307796478271","1.3689700365066528"
"13","1.3254945675532024","1.3046655654907227","1.3629324436187744"
"14","1.308908482392629","1.2851097583770752","1.3550989627838135"
"15","1.2889927824338276","1.2588425874710083","1.345063328742981"
"16","1.2635345260302226","1.231762170791626","1.3323856592178345"
"17","1.2357995907465618","1.1976882219314575","1.3197402954101562"
"18","1.20071941614151","1.1595075130462646","1.3010655641555786"
"19","1.161354899406433","1.1123842000961304","1.2794586420059204"
"20","1.1163050929705303","1.0579837560653687","1.2522525787353516"
"21","1.0642922918001811","1.0000919103622437","1.2156025171279907"
"22","0.9995848337809244","0.926270604133606","1.181850552558899"
"23","0.9361972212791443","0.8543004393577576","1.1400209665298462"
"24","0.8739563127358755","0.7790068984031677","1.085625171661377"
"25","0.792104442914327","0.6974048614501953","1.0281997919082642"
"26","0.7229681809743246","0.6253065466880798","0.9753536581993103"
"27","0.6491826772689819","0.5374211072921753","0.9164747595787048"
"28","0.58278688788414","0.473710834980011","0.8431373834609985"
"29","0.5257120778163274","0.4196440875530243","0.7946832776069641"
"30","0.471744438012441","0.3603858947753906","0.7343217134475708"
"31","0.4229462146759033","0.31047430634498596","0.6895584464073181"
"32","0.3830588310956955","0.2684515714645386","0.6368649005889893"
"33","0.35326314469178516","0.25055038928985596","0.5888012647628784"
"34","0.32452232638994855","0.21090960502624512","0.5574973225593567"
"35","0.3072219838698705","0.19420206546783447","0.5557751655578613"
"36","0.29177437722682953","0.17007605731487274","0.5266377925872803"
"37","0.27185432612895966","0.1519763320684433","0.5039721131324768"
"38","0.26709140837192535","0.1354333609342575","0.507491409778595"
"39","0.26297425478696823","0.13020993769168854","0.494369238615036"
"40","0.26074489081899327","0.12104775756597519","0.4949631094932556"
"41","0.26273445039987564","0.10813169181346893","0.5041131377220154"
"42","0.26416370396812755","0.11428496241569519","0.49812376499176025"
"43","0.27111032977700233","0.1054505854845047","0.5169793367385864"
