/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 1 | Reward: 9.0 | Polciy Loss: 0.3511214256286621 | Steps: 9
Episode: 2 | Reward: 11.0 | Polciy Loss: -1.1725904941558838 | Steps: 20
Episode: 3 | Reward: 10.0 | Polciy Loss: -1.0319716930389404 | Steps: 30
Episode: 4 | Reward: 9.0 | Polciy Loss: -0.832607090473175 | Steps: 39
Episode: 5 | Reward: 9.0 | Polciy Loss: -1.1014811992645264 | Steps: 48
Episode: 6 | Reward: 10.0 | Polciy Loss: -1.2125188112258911 | Steps: 58
Episode: 7 | Reward: 9.0 | Polciy Loss: -1.138129711151123 | Steps: 67
Episode: 8 | Reward: 9.0 | Polciy Loss: -1.2679070234298706 | Steps: 76
Episode: 9 | Reward: 10.0 | Polciy Loss: -1.2975122928619385 | Steps: 86
Episode: 10 | Reward: 10.0 | Polciy Loss: -1.3598427772521973 | Steps: 96
Episode: 11 | Reward: 10.0 | Polciy Loss: -1.4245327711105347 | Steps: 106
Episode: 12 | Reward: 8.0 | Polciy Loss: -1.4594571590423584 | Steps: 114
Episode: 13 | Reward: 8.0 | Polciy Loss: -1.5208488702774048 | Steps: 122
Episode: 14 | Reward: 10.0 | Polciy Loss: -1.5713368654251099 | Steps: 132
Episode: 15 | Reward: 10.0 | Polciy Loss: -1.6530911922454834 | Steps: 142
Episode: 16 | Reward: 9.0 | Polciy Loss: -1.7032721042633057 | Steps: 151
Episode: 17 | Reward: 10.0 | Polciy Loss: -1.7699809074401855 | Steps: 161
Episode: 18 | Reward: 10.0 | Polciy Loss: -1.8281110525131226 | Steps: 171
Episode: 19 | Reward: 10.0 | Polciy Loss: -1.9116590023040771 | Steps: 181
Episode: 20 | Reward: 10.0 | Polciy Loss: -1.9865000247955322 | Steps: 191
Episode: 21 | Reward: 10.0 | Polciy Loss: -2.0415425300598145 | Steps: 201
Episode: 22 | Reward: 10.0 | Polciy Loss: -2.1401431560516357 | Steps: 211
Episode: 23 | Reward: 10.0 | Polciy Loss: -2.1803243160247803 | Steps: 221
Episode: 24 | Reward: 9.0 | Polciy Loss: -2.2183897495269775 | Steps: 230
Episode: 25 | Reward: 9.0 | Polciy Loss: -2.273350477218628 | Steps: 239
Episode: 26 | Reward: 10.0 | Polciy Loss: -2.37186861038208 | Steps: 249
Episode: 27 | Reward: 9.0 | Polciy Loss: -2.455148220062256 | Steps: 258
Episode: 28 | Reward: 11.0 | Polciy Loss: -2.483877658843994 | Steps: 269
Episode: 29 | Reward: 9.0 | Polciy Loss: -2.492034673690796 | Steps: 278
Episode: 30 | Reward: 8.0 | Polciy Loss: -2.6143603324890137 | Steps: 286
Episode: 31 | Reward: 10.0 | Polciy Loss: -2.687681198120117 | Steps: 296
Episode: 32 | Reward: 9.0 | Polciy Loss: -2.7221224308013916 | Steps: 305
Episode: 33 | Reward: 11.0 | Polciy Loss: -2.7474377155303955 | Steps: 316
Episode: 34 | Reward: 8.0 | Polciy Loss: -2.8363873958587646 | Steps: 324
Episode: 35 | Reward: 9.0 | Polciy Loss: -2.956620216369629 | Steps: 333
Episode: 36 | Reward: 10.0 | Polciy Loss: -3.029580593109131 | Steps: 343
Episode: 37 | Reward: 10.0 | Polciy Loss: -3.109619140625 | Steps: 353
Episode: 38 | Reward: 9.0 | Polciy Loss: -3.204932928085327 | Steps: 362
Episode: 39 | Reward: 10.0 | Polciy Loss: -3.330564498901367 | Steps: 372
Episode: 40 | Reward: 9.0 | Polciy Loss: -3.335265636444092 | Steps: 381
Episode: 41 | Reward: 10.0 | Polciy Loss: -3.3892886638641357 | Steps: 391
Episode: 42 | Reward: 10.0 | Polciy Loss: -3.395258665084839 | Steps: 401
Episode: 43 | Reward: 10.0 | Polciy Loss: -3.4124488830566406 | Steps: 411
Episode: 44 | Reward: 8.0 | Polciy Loss: -3.5587778091430664 | Steps: 419
Episode: 45 | Reward: 10.0 | Polciy Loss: -3.6298327445983887 | Steps: 429
Episode: 46 | Reward: 10.0 | Polciy Loss: -3.7298574447631836 | Steps: 439
Episode: 47 | Reward: 9.0 | Polciy Loss: -3.655015230178833 | Steps: 448
Episode: 48 | Reward: 9.0 | Polciy Loss: -4.004569053649902 | Steps: 457
Episode: 49 | Reward: 8.0 | Polciy Loss: -3.949319839477539 | Steps: 465
Episode: 50 | Reward: 10.0 | Polciy Loss: -3.7634353637695312 | Steps: 475
Episode: 51 | Reward: 9.0 | Polciy Loss: -4.00482177734375 | Steps: 484
Episode: 52 | Reward: 10.0 | Polciy Loss: -3.9479174613952637 | Steps: 494
Episode: 53 | Reward: 10.0 | Polciy Loss: -4.089275360107422 | Steps: 504
Episode: 54 | Reward: 9.0 | Polciy Loss: -4.262392997741699 | Steps: 513
Episode: 55 | Reward: 10.0 | Polciy Loss: -4.127769470214844 | Steps: 523
Episode: 56 | Reward: 8.0 | Polciy Loss: -4.221211910247803 | Steps: 531
Episode: 57 | Reward: 10.0 | Polciy Loss: -4.360370635986328 | Steps: 541
Episode: 58 | Reward: 9.0 | Polciy Loss: -4.284601211547852 | Steps: 550
Episode: 59 | Reward: 10.0 | Polciy Loss: -4.620458126068115 | Steps: 560
Episode: 60 | Reward: 10.0 | Polciy Loss: -4.548467636108398 | Steps: 570
Episode: 61 | Reward: 10.0 | Polciy Loss: -4.634430408477783 | Steps: 580
Episode: 62 | Reward: 9.0 | Polciy Loss: -4.609226703643799 | Steps: 589
Episode: 63 | Reward: 10.0 | Polciy Loss: -4.715909957885742 | Steps: 599
Episode: 64 | Reward: 9.0 | Polciy Loss: -4.746218681335449 | Steps: 608
Episode: 65 | Reward: 9.0 | Polciy Loss: -4.6991047859191895 | Steps: 617
Episode: 66 | Reward: 10.0 | Polciy Loss: -4.800373554229736 | Steps: 627
Episode: 67 | Reward: 10.0 | Polciy Loss: -5.047677993774414 | Steps: 637
Episode: 68 | Reward: 11.0 | Polciy Loss: -4.838138103485107 | Steps: 648
Episode: 69 | Reward: 10.0 | Polciy Loss: -5.089412212371826 | Steps: 658
Episode: 70 | Reward: 8.0 | Polciy Loss: -5.31197452545166 | Steps: 666
Episode: 71 | Reward: 9.0 | Polciy Loss: -5.089235305786133 | Steps: 675
Episode: 72 | Reward: 8.0 | Polciy Loss: -5.202147483825684 | Steps: 683
Episode: 73 | Reward: 10.0 | Polciy Loss: -5.159923553466797 | Steps: 693
Episode: 74 | Reward: 10.0 | Polciy Loss: -5.268688201904297 | Steps: 703
Episode: 75 | Reward: 11.0 | Polciy Loss: -5.503228664398193 | Steps: 714
Episode: 76 | Reward: 10.0 | Polciy Loss: -5.401279449462891 | Steps: 724
Episode: 77 | Reward: 9.0 | Polciy Loss: -5.29818058013916 | Steps: 733
Episode: 78 | Reward: 9.0 | Polciy Loss: -5.429548263549805 | Steps: 742
Episode: 79 | Reward: 10.0 | Polciy Loss: -5.611807346343994 | Steps: 752
Episode: 80 | Reward: 10.0 | Polciy Loss: -5.668619155883789 | Steps: 762
Episode: 81 | Reward: 10.0 | Polciy Loss: -5.4641923904418945 | Steps: 772
Episode: 82 | Reward: 9.0 | Polciy Loss: -5.77524995803833 | Steps: 781
Episode: 83 | Reward: 10.0 | Polciy Loss: -5.6242356300354 | Steps: 791
Episode: 84 | Reward: 10.0 | Polciy Loss: -5.937648296356201 | Steps: 801
