/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 1 | Reward: 26.0 | Polciy Loss: -2.876732587814331 | Steps: 26
Episode: 2 | Reward: 16.0 | Polciy Loss: -2.2297096252441406 | Steps: 42
Episode: 3 | Reward: 16.0 | Polciy Loss: -2.4712069034576416 | Steps: 58
Episode: 4 | Reward: 11.0 | Polciy Loss: -2.60433292388916 | Steps: 69
Episode: 5 | Reward: 54.0 | Polciy Loss: -3.081450939178467 | Steps: 123
Episode: 6 | Reward: 12.0 | Polciy Loss: -3.1606528759002686 | Steps: 135
Episode: 7 | Reward: 14.0 | Polciy Loss: -3.3138675689697266 | Steps: 149
Episode: 8 | Reward: 15.0 | Polciy Loss: -3.467355251312256 | Steps: 164
Episode: 9 | Reward: 10.0 | Polciy Loss: -3.5522942543029785 | Steps: 174
Episode: 10 | Reward: 37.0 | Polciy Loss: -3.984593629837036 | Steps: 211
Episode: 11 | Reward: 27.0 | Polciy Loss: -4.198274612426758 | Steps: 238
Episode: 12 | Reward: 65.0 | Polciy Loss: -4.971851825714111 | Steps: 303
Episode: 13 | Reward: 31.0 | Polciy Loss: -5.314809799194336 | Steps: 334
Episode: 14 | Reward: 28.0 | Polciy Loss: -5.74496603012085 | Steps: 362
Episode: 15 | Reward: 30.0 | Polciy Loss: -5.990219593048096 | Steps: 392
Episode: 16 | Reward: 54.0 | Polciy Loss: -6.567364692687988 | Steps: 446
Episode: 17 | Reward: 24.0 | Polciy Loss: -6.934117794036865 | Steps: 470
Episode: 18 | Reward: 17.0 | Polciy Loss: -6.840079307556152 | Steps: 487
Episode: 19 | Reward: 28.0 | Polciy Loss: -7.144577980041504 | Steps: 515
Episode: 20 | Reward: 29.0 | Polciy Loss: -7.729838848114014 | Steps: 544
Episode: 21 | Reward: 39.0 | Polciy Loss: -7.751947402954102 | Steps: 583
Episode: 22 | Reward: 10.0 | Polciy Loss: -7.941551208496094 | Steps: 593
Episode: 23 | Reward: 18.0 | Polciy Loss: -8.073990821838379 | Steps: 611
Episode: 24 | Reward: 10.0 | Polciy Loss: -8.562040328979492 | Steps: 621
Episode: 25 | Reward: 9.0 | Polciy Loss: -8.681859970092773 | Steps: 630
Episode: 26 | Reward: 36.0 | Polciy Loss: -8.562350273132324 | Steps: 666
Episode: 27 | Reward: 33.0 | Polciy Loss: -8.907902717590332 | Steps: 699
Episode: 28 | Reward: 17.0 | Polciy Loss: -9.16277027130127 | Steps: 716
Episode: 29 | Reward: 9.0 | Polciy Loss: -9.2471342086792 | Steps: 725
Episode: 30 | Reward: 17.0 | Polciy Loss: -9.352091789245605 | Steps: 742
Episode: 31 | Reward: 10.0 | Polciy Loss: -9.509716033935547 | Steps: 752
Episode: 32 | Reward: 13.0 | Polciy Loss: -9.700910568237305 | Steps: 765
Episode: 33 | Reward: 24.0 | Polciy Loss: -9.766862869262695 | Steps: 789
Episode: 34 | Reward: 11.0 | Polciy Loss: -9.541375160217285 | Steps: 800
Episode: 35 | Reward: 9.0 | Polciy Loss: -9.71246337890625 | Steps: 809
Episode: 36 | Reward: 10.0 | Polciy Loss: -10.25629711151123 | Steps: 819
Episode: 37 | Reward: 20.0 | Polciy Loss: -10.62074089050293 | Steps: 839
Episode: 38 | Reward: 11.0 | Polciy Loss: -10.203180313110352 | Steps: 850
Episode: 39 | Reward: 9.0 | Polciy Loss: -10.340400695800781 | Steps: 859
