/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 1 | Reward: 12.0 | Polciy Loss: -0.32483118772506714 | Steps: 12
Episode: 2 | Reward: 8.0 | Polciy Loss: -0.7626199722290039 | Steps: 20
Episode: 3 | Reward: 8.0 | Polciy Loss: -0.8511525392532349 | Steps: 28
Episode: 4 | Reward: 10.0 | Polciy Loss: -0.7784167528152466 | Steps: 38
Episode: 5 | Reward: 10.0 | Polciy Loss: -0.8252837657928467 | Steps: 48
Episode: 6 | Reward: 9.0 | Polciy Loss: -0.9999173879623413 | Steps: 57
Episode: 7 | Reward: 9.0 | Polciy Loss: -1.1923085451126099 | Steps: 66
Episode: 8 | Reward: 10.0 | Polciy Loss: -1.2470961809158325 | Steps: 76
Episode: 9 | Reward: 9.0 | Polciy Loss: -1.3105522394180298 | Steps: 85
Episode: 10 | Reward: 9.0 | Polciy Loss: -1.3582478761672974 | Steps: 94
Episode: 11 | Reward: 9.0 | Polciy Loss: -1.414389729499817 | Steps: 103
Episode: 12 | Reward: 11.0 | Polciy Loss: -1.5100845098495483 | Steps: 114
Episode: 13 | Reward: 10.0 | Polciy Loss: -1.5662524700164795 | Steps: 124
Episode: 14 | Reward: 8.0 | Polciy Loss: -1.571759819984436 | Steps: 132
Episode: 15 | Reward: 9.0 | Polciy Loss: -1.6865489482879639 | Steps: 141
Episode: 16 | Reward: 9.0 | Polciy Loss: -1.7157927751541138 | Steps: 150
Episode: 17 | Reward: 9.0 | Polciy Loss: -1.818513035774231 | Steps: 159
Episode: 18 | Reward: 9.0 | Polciy Loss: -1.8589062690734863 | Steps: 168
Episode: 19 | Reward: 9.0 | Polciy Loss: -1.9319965839385986 | Steps: 177
Episode: 20 | Reward: 9.0 | Polciy Loss: -2.033473014831543 | Steps: 186
Episode: 21 | Reward: 8.0 | Polciy Loss: -2.0155558586120605 | Steps: 194
Episode: 22 | Reward: 9.0 | Polciy Loss: -2.1495161056518555 | Steps: 203
Episode: 23 | Reward: 8.0 | Polciy Loss: -2.1254947185516357 | Steps: 211
Episode: 24 | Reward: 10.0 | Polciy Loss: -2.241665840148926 | Steps: 221
Episode: 25 | Reward: 10.0 | Polciy Loss: -2.3418166637420654 | Steps: 231
Episode: 26 | Reward: 8.0 | Polciy Loss: -2.374659299850464 | Steps: 239
Episode: 27 | Reward: 10.0 | Polciy Loss: -2.46608829498291 | Steps: 249
Episode: 28 | Reward: 8.0 | Polciy Loss: -2.541456937789917 | Steps: 257
Episode: 29 | Reward: 10.0 | Polciy Loss: -2.591205596923828 | Steps: 267
Episode: 30 | Reward: 10.0 | Polciy Loss: -2.5872421264648438 | Steps: 277
Episode: 31 | Reward: 9.0 | Polciy Loss: -2.7800025939941406 | Steps: 286
Episode: 32 | Reward: 9.0 | Polciy Loss: -2.728097438812256 | Steps: 295
Episode: 33 | Reward: 8.0 | Polciy Loss: -2.820864677429199 | Steps: 303
Episode: 34 | Reward: 10.0 | Polciy Loss: -2.9460716247558594 | Steps: 313
