/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 1 | Reward: 18.0 | Polciy Loss: -1.878934383392334 | Steps: 18
Episode: 2 | Reward: 12.0 | Polciy Loss: -2.490658760070801 | Steps: 30
Episode: 3 | Reward: 19.0 | Polciy Loss: -2.6468286514282227 | Steps: 49
Episode: 4 | Reward: 11.0 | Polciy Loss: -2.4638993740081787 | Steps: 60
Episode: 5 | Reward: 22.0 | Polciy Loss: -2.674745798110962 | Steps: 82
Episode: 6 | Reward: 9.0 | Polciy Loss: -2.8095858097076416 | Steps: 91
Episode: 7 | Reward: 17.0 | Polciy Loss: -2.959751605987549 | Steps: 108
Episode: 8 | Reward: 9.0 | Polciy Loss: -2.976316213607788 | Steps: 117
Episode: 9 | Reward: 9.0 | Polciy Loss: -3.0850303173065186 | Steps: 126
Episode: 10 | Reward: 28.0 | Polciy Loss: -3.3485043048858643 | Steps: 154
Episode: 11 | Reward: 15.0 | Polciy Loss: -3.511690616607666 | Steps: 169
Episode: 12 | Reward: 10.0 | Polciy Loss: -3.6155149936676025 | Steps: 179
Episode: 13 | Reward: 13.0 | Polciy Loss: -3.7767457962036133 | Steps: 192
Episode: 14 | Reward: 37.0 | Polciy Loss: -4.128032684326172 | Steps: 229
Episode: 15 | Reward: 9.0 | Polciy Loss: -4.247154235839844 | Steps: 238
Episode: 16 | Reward: 42.0 | Polciy Loss: -4.82379150390625 | Steps: 280
Episode: 17 | Reward: 12.0 | Polciy Loss: -4.827465534210205 | Steps: 292
Episode: 18 | Reward: 18.0 | Polciy Loss: -5.1193952560424805 | Steps: 310
Episode: 19 | Reward: 90.0 | Polciy Loss: -5.912057399749756 | Steps: 400
Episode: 20 | Reward: 17.0 | Polciy Loss: -6.163036346435547 | Steps: 417
Episode: 21 | Reward: 16.0 | Polciy Loss: -6.446705341339111 | Steps: 433
Episode: 22 | Reward: 15.0 | Polciy Loss: -6.494777202606201 | Steps: 448
Episode: 23 | Reward: 10.0 | Polciy Loss: -6.741512298583984 | Steps: 458
Episode: 24 | Reward: 31.0 | Polciy Loss: -7.144901752471924 | Steps: 489
Episode: 25 | Reward: 37.0 | Polciy Loss: -7.348798751831055 | Steps: 526
Episode: 26 | Reward: 10.0 | Polciy Loss: -7.4795355796813965 | Steps: 536
Episode: 27 | Reward: 20.0 | Polciy Loss: -7.404196739196777 | Steps: 556
Episode: 28 | Reward: 11.0 | Polciy Loss: -7.796414375305176 | Steps: 567
Episode: 29 | Reward: 10.0 | Polciy Loss: -7.612122535705566 | Steps: 577
Episode: 30 | Reward: 9.0 | Polciy Loss: -7.8906331062316895 | Steps: 586
Episode: 31 | Reward: 16.0 | Polciy Loss: -7.908828258514404 | Steps: 602
Episode: 32 | Reward: 12.0 | Polciy Loss: -8.439894676208496 | Steps: 614
Episode: 33 | Reward: 10.0 | Polciy Loss: -8.358428001403809 | Steps: 624
Episode: 34 | Reward: 8.0 | Polciy Loss: -8.258994102478027 | Steps: 632
Episode: 35 | Reward: 10.0 | Polciy Loss: -8.417137145996094 | Steps: 642
Episode: 36 | Reward: 19.0 | Polciy Loss: -8.787013053894043 | Steps: 661
Episode: 37 | Reward: 9.0 | Polciy Loss: -8.703987121582031 | Steps: 670
Episode: 38 | Reward: 25.0 | Polciy Loss: -8.861562728881836 | Steps: 695
Episode: 39 | Reward: 15.0 | Polciy Loss: -9.175835609436035 | Steps: 710
Episode: 40 | Reward: 15.0 | Polciy Loss: -9.203454971313477 | Steps: 725
Episode: 41 | Reward: 9.0 | Polciy Loss: -9.179241180419922 | Steps: 734
Episode: 42 | Reward: 10.0 | Polciy Loss: -9.436054229736328 | Steps: 744
Episode: 43 | Reward: 10.0 | Polciy Loss: -9.718055725097656 | Steps: 754
Episode: 44 | Reward: 10.0 | Polciy Loss: -9.575974464416504 | Steps: 764
Episode: 45 | Reward: 13.0 | Polciy Loss: -9.936399459838867 | Steps: 777
Episode: 46 | Reward: 12.0 | Polciy Loss: -9.532706260681152 | Steps: 789
Episode: 47 | Reward: 9.0 | Polciy Loss: -9.505870819091797 | Steps: 798
Episode: 48 | Reward: 10.0 | Polciy Loss: -10.03093147277832 | Steps: 808
Episode: 49 | Reward: 8.0 | Polciy Loss: -10.022780418395996 | Steps: 816
Episode: 50 | Reward: 10.0 | Polciy Loss: -9.64249038696289 | Steps: 826
Episode: 51 | Reward: 14.0 | Polciy Loss: -10.208907127380371 | Steps: 840
Episode: 52 | Reward: 14.0 | Polciy Loss: -10.542913436889648 | Steps: 854
Episode: 53 | Reward: 9.0 | Polciy Loss: -10.579109191894531 | Steps: 863
Episode: 54 | Reward: 9.0 | Polciy Loss: -10.135177612304688 | Steps: 872
Episode: 55 | Reward: 10.0 | Polciy Loss: -10.26198959350586 | Steps: 882
Episode: 56 | Reward: 32.0 | Polciy Loss: -10.566458702087402 | Steps: 914
Episode: 57 | Reward: 11.0 | Polciy Loss: -10.186543464660645 | Steps: 925
Episode: 58 | Reward: 10.0 | Polciy Loss: -10.741689682006836 | Steps: 935
Episode: 59 | Reward: 9.0 | Polciy Loss: -10.640230178833008 | Steps: 944
Episode: 60 | Reward: 10.0 | Polciy Loss: -11.205819129943848 | Steps: 954
Episode: 61 | Reward: 16.0 | Polciy Loss: -10.985950469970703 | Steps: 970
Episode: 62 | Reward: 10.0 | Polciy Loss: -11.29040813446045 | Steps: 980
Episode: 63 | Reward: 10.0 | Polciy Loss: -11.340579986572266 | Steps: 990
Episode: 64 | Reward: 9.0 | Polciy Loss: -10.92360782623291 | Steps: 999
Episode: 65 | Reward: 9.0 | Polciy Loss: -11.223997116088867 | Steps: 1008
Episode: 66 | Reward: 13.0 | Polciy Loss: -11.18343448638916 | Steps: 1021
Episode: 67 | Reward: 11.0 | Polciy Loss: -11.027885437011719 | Steps: 1032
Episode: 68 | Reward: 8.0 | Polciy Loss: -11.544938087463379 | Steps: 1040
Episode: 69 | Reward: 9.0 | Polciy Loss: -11.366994857788086 | Steps: 1049
Episode: 70 | Reward: 11.0 | Polciy Loss: -11.646845817565918 | Steps: 1060
Episode: 71 | Reward: 10.0 | Polciy Loss: -11.877849578857422 | Steps: 1070
Episode: 72 | Reward: 15.0 | Polciy Loss: -11.44014835357666 | Steps: 1085
Episode: 73 | Reward: 11.0 | Polciy Loss: -11.528234481811523 | Steps: 1096
Episode: 74 | Reward: 9.0 | Polciy Loss: -11.579418182373047 | Steps: 1105
Episode: 75 | Reward: 8.0 | Polciy Loss: -11.467358589172363 | Steps: 1113
Episode: 76 | Reward: 9.0 | Polciy Loss: -11.677416801452637 | Steps: 1122
Episode: 77 | Reward: 11.0 | Polciy Loss: -11.981021881103516 | Steps: 1133
Episode: 78 | Reward: 9.0 | Polciy Loss: -11.894210815429688 | Steps: 1142
Episode: 79 | Reward: 10.0 | Polciy Loss: -12.38097858428955 | Steps: 1152
Episode: 80 | Reward: 10.0 | Polciy Loss: -12.6300048828125 | Steps: 1162
Episode: 81 | Reward: 10.0 | Polciy Loss: -12.377883911132812 | Steps: 1172
Episode: 82 | Reward: 9.0 | Polciy Loss: -12.21363639831543 | Steps: 1181
Episode: 83 | Reward: 10.0 | Polciy Loss: -12.412399291992188 | Steps: 1191
Episode: 84 | Reward: 10.0 | Polciy Loss: -12.790225982666016 | Steps: 1201
Episode: 85 | Reward: 9.0 | Polciy Loss: -12.638542175292969 | Steps: 1210
Episode: 86 | Reward: 10.0 | Polciy Loss: -12.224621772766113 | Steps: 1220
Episode: 87 | Reward: 10.0 | Polciy Loss: -12.422782897949219 | Steps: 1230
Episode: 88 | Reward: 8.0 | Polciy Loss: -12.66750431060791 | Steps: 1238
Episode: 89 | Reward: 10.0 | Polciy Loss: -12.595298767089844 | Steps: 1248
Episode: 90 | Reward: 10.0 | Polciy Loss: -12.710343360900879 | Steps: 1258
Episode: 91 | Reward: 10.0 | Polciy Loss: -12.621598243713379 | Steps: 1268
Episode: 92 | Reward: 10.0 | Polciy Loss: -12.528748512268066 | Steps: 1278
Episode: 93 | Reward: 10.0 | Polciy Loss: -12.87961483001709 | Steps: 1288
Episode: 94 | Reward: 10.0 | Polciy Loss: -12.871066093444824 | Steps: 1298
Episode: 95 | Reward: 9.0 | Polciy Loss: -12.87463092803955 | Steps: 1307
Episode: 96 | Reward: 9.0 | Polciy Loss: -12.99056625366211 | Steps: 1316
Episode: 97 | Reward: 8.0 | Polciy Loss: -13.146907806396484 | Steps: 1324
Episode: 98 | Reward: 9.0 | Polciy Loss: -13.18878173828125 | Steps: 1333
Episode: 99 | Reward: 8.0 | Polciy Loss: -13.247044563293457 | Steps: 1341
Episode: 100 | Reward: 9.0 | Polciy Loss: -13.045897483825684 | Steps: 1350
Episode: 101 | Reward: 8.0 | Polciy Loss: -13.03629207611084 | Steps: 1358
Episode: 102 | Reward: 9.0 | Polciy Loss: -12.951207160949707 | Steps: 1367
Episode: 103 | Reward: 10.0 | Polciy Loss: -12.95876693725586 | Steps: 1377
Episode: 104 | Reward: 9.0 | Polciy Loss: -13.168810844421387 | Steps: 1386
Episode: 105 | Reward: 9.0 | Polciy Loss: -13.36459732055664 | Steps: 1395
Episode: 106 | Reward: 10.0 | Polciy Loss: -13.34877872467041 | Steps: 1405
Episode: 107 | Reward: 10.0 | Polciy Loss: -13.068700790405273 | Steps: 1415
Episode: 108 | Reward: 8.0 | Polciy Loss: -13.205162048339844 | Steps: 1423
Episode: 109 | Reward: 8.0 | Polciy Loss: -13.429903030395508 | Steps: 1431
Episode: 110 | Reward: 9.0 | Polciy Loss: -13.71424388885498 | Steps: 1440
Episode: 111 | Reward: 9.0 | Polciy Loss: -13.727153778076172 | Steps: 1449
Episode: 112 | Reward: 13.0 | Polciy Loss: -13.417620658874512 | Steps: 1462
Episode: 113 | Reward: 8.0 | Polciy Loss: -13.581183433532715 | Steps: 1470
Episode: 114 | Reward: 9.0 | Polciy Loss: -13.625503540039062 | Steps: 1479
Episode: 115 | Reward: 8.0 | Polciy Loss: -13.552133560180664 | Steps: 1487
Episode: 116 | Reward: 10.0 | Polciy Loss: -13.576719284057617 | Steps: 1497
Episode: 117 | Reward: 9.0 | Polciy Loss: -13.794760704040527 | Steps: 1506
Episode: 118 | Reward: 10.0 | Polciy Loss: -13.31965160369873 | Steps: 1516
Episode: 119 | Reward: 10.0 | Polciy Loss: -13.644506454467773 | Steps: 1526
Episode: 120 | Reward: 25.0 | Polciy Loss: -13.670339584350586 | Steps: 1551
Episode: 121 | Reward: 10.0 | Polciy Loss: -13.790684700012207 | Steps: 1561
Episode: 122 | Reward: 19.0 | Polciy Loss: -13.918275833129883 | Steps: 1580
Episode: 123 | Reward: 11.0 | Polciy Loss: -13.747285842895508 | Steps: 1591
Episode: 124 | Reward: 12.0 | Polciy Loss: -13.69952392578125 | Steps: 1603
Episode: 125 | Reward: 9.0 | Polciy Loss: -13.804994583129883 | Steps: 1612
Episode: 126 | Reward: 10.0 | Polciy Loss: -13.331923484802246 | Steps: 1622
Episode: 127 | Reward: 18.0 | Polciy Loss: -13.857053756713867 | Steps: 1640
Episode: 128 | Reward: 10.0 | Polciy Loss: -13.955214500427246 | Steps: 1650
Episode: 129 | Reward: 10.0 | Polciy Loss: -13.97395133972168 | Steps: 1660
Episode: 130 | Reward: 10.0 | Polciy Loss: -14.308670043945312 | Steps: 1670
Episode: 131 | Reward: 9.0 | Polciy Loss: -14.027777671813965 | Steps: 1679
Episode: 132 | Reward: 10.0 | Polciy Loss: -14.262528419494629 | Steps: 1689
Episode: 133 | Reward: 8.0 | Polciy Loss: -14.34375 | Steps: 1697
Episode: 134 | Reward: 9.0 | Polciy Loss: -14.200712203979492 | Steps: 1706
Episode: 135 | Reward: 11.0 | Polciy Loss: -14.250617027282715 | Steps: 1717
Episode: 136 | Reward: 10.0 | Polciy Loss: -14.27756118774414 | Steps: 1727
Episode: 137 | Reward: 10.0 | Polciy Loss: -13.789155960083008 | Steps: 1737
Episode: 138 | Reward: 11.0 | Polciy Loss: -13.827926635742188 | Steps: 1748
Episode: 139 | Reward: 10.0 | Polciy Loss: -14.08106803894043 | Steps: 1758
Episode: 140 | Reward: 13.0 | Polciy Loss: -14.46600341796875 | Steps: 1771
Episode: 141 | Reward: 9.0 | Polciy Loss: -14.429023742675781 | Steps: 1780
Episode: 142 | Reward: 9.0 | Polciy Loss: -14.106450080871582 | Steps: 1789
Episode: 143 | Reward: 10.0 | Polciy Loss: -14.238913536071777 | Steps: 1799
Episode: 144 | Reward: 9.0 | Polciy Loss: -13.999166488647461 | Steps: 1808
Episode: 145 | Reward: 21.0 | Polciy Loss: -14.451126098632812 | Steps: 1829
Episode: 146 | Reward: 10.0 | Polciy Loss: -14.487446784973145 | Steps: 1839
Episode: 147 | Reward: 11.0 | Polciy Loss: -14.65703296661377 | Steps: 1850
Episode: 148 | Reward: 14.0 | Polciy Loss: -14.222719192504883 | Steps: 1864
Episode: 149 | Reward: 9.0 | Polciy Loss: -13.73434066772461 | Steps: 1873
Episode: 150 | Reward: 9.0 | Polciy Loss: -14.463212013244629 | Steps: 1882
Episode: 151 | Reward: 9.0 | Polciy Loss: -15.031220436096191 | Steps: 1891
Episode: 152 | Reward: 10.0 | Polciy Loss: -14.674676895141602 | Steps: 1901
Episode: 153 | Reward: 11.0 | Polciy Loss: -14.425905227661133 | Steps: 1912
Episode: 154 | Reward: 10.0 | Polciy Loss: -14.433316230773926 | Steps: 1922
Episode: 155 | Reward: 11.0 | Polciy Loss: -14.886131286621094 | Steps: 1933
Episode: 156 | Reward: 10.0 | Polciy Loss: -14.589506149291992 | Steps: 1943
Episode: 157 | Reward: 9.0 | Polciy Loss: -14.479700088500977 | Steps: 1952
Episode: 158 | Reward: 10.0 | Polciy Loss: -14.590890884399414 | Steps: 1962
Episode: 159 | Reward: 10.0 | Polciy Loss: -14.431395530700684 | Steps: 1972
Episode: 160 | Reward: 10.0 | Polciy Loss: -14.713473320007324 | Steps: 1982
Episode: 161 | Reward: 10.0 | Polciy Loss: -14.129091262817383 | Steps: 1992
Episode: 162 | Reward: 10.0 | Polciy Loss: -14.246180534362793 | Steps: 2002
Episode: 163 | Reward: 9.0 | Polciy Loss: -14.283234596252441 | Steps: 2011
Episode: 164 | Reward: 9.0 | Polciy Loss: -14.866945266723633 | Steps: 2020
Episode: 165 | Reward: 10.0 | Polciy Loss: -14.489773750305176 | Steps: 2030
Episode: 166 | Reward: 10.0 | Polciy Loss: -14.348760604858398 | Steps: 2040
Episode: 167 | Reward: 9.0 | Polciy Loss: -14.583431243896484 | Steps: 2049
Episode: 168 | Reward: 9.0 | Polciy Loss: -14.55723762512207 | Steps: 2058
Episode: 169 | Reward: 9.0 | Polciy Loss: -14.924114227294922 | Steps: 2067
Episode: 170 | Reward: 9.0 | Polciy Loss: -14.752867698669434 | Steps: 2076
Episode: 171 | Reward: 8.0 | Polciy Loss: -14.351363182067871 | Steps: 2084
Episode: 172 | Reward: 10.0 | Polciy Loss: -14.811984062194824 | Steps: 2094
Episode: 173 | Reward: 10.0 | Polciy Loss: -15.138915061950684 | Steps: 2104
Episode: 174 | Reward: 10.0 | Polciy Loss: -14.884658813476562 | Steps: 2114
Episode: 175 | Reward: 11.0 | Polciy Loss: -14.920049667358398 | Steps: 2125
Episode: 176 | Reward: 10.0 | Polciy Loss: -14.734904289245605 | Steps: 2135
Episode: 177 | Reward: 10.0 | Polciy Loss: -14.804031372070312 | Steps: 2145
Episode: 178 | Reward: 9.0 | Polciy Loss: -14.606712341308594 | Steps: 2154
Episode: 179 | Reward: 9.0 | Polciy Loss: -14.516170501708984 | Steps: 2163
Episode: 180 | Reward: 11.0 | Polciy Loss: -14.358169555664062 | Steps: 2174
Episode: 181 | Reward: 8.0 | Polciy Loss: -14.99843692779541 | Steps: 2182
Episode: 182 | Reward: 9.0 | Polciy Loss: -14.735245704650879 | Steps: 2191
Episode: 183 | Reward: 10.0 | Polciy Loss: -14.558399200439453 | Steps: 2201
Episode: 184 | Reward: 9.0 | Polciy Loss: -14.9805326461792 | Steps: 2210
Episode: 185 | Reward: 17.0 | Polciy Loss: -14.298776626586914 | Steps: 2227
Episode: 186 | Reward: 11.0 | Polciy Loss: -14.54888916015625 | Steps: 2238
Episode: 187 | Reward: 10.0 | Polciy Loss: -14.558204650878906 | Steps: 2248
Episode: 188 | Reward: 10.0 | Polciy Loss: -14.40951919555664 | Steps: 2258
Episode: 189 | Reward: 9.0 | Polciy Loss: -14.584168434143066 | Steps: 2267
Episode: 190 | Reward: 11.0 | Polciy Loss: -14.46079158782959 | Steps: 2278
Episode: 191 | Reward: 10.0 | Polciy Loss: -14.456968307495117 | Steps: 2288
Episode: 192 | Reward: 9.0 | Polciy Loss: -14.853813171386719 | Steps: 2297
Episode: 193 | Reward: 9.0 | Polciy Loss: -14.727984428405762 | Steps: 2306
Episode: 194 | Reward: 10.0 | Polciy Loss: -14.879748344421387 | Steps: 2316
Episode: 195 | Reward: 17.0 | Polciy Loss: -14.903013229370117 | Steps: 2333
Episode: 196 | Reward: 8.0 | Polciy Loss: -14.549872398376465 | Steps: 2341
Episode: 197 | Reward: 9.0 | Polciy Loss: -14.563413619995117 | Steps: 2350
Episode: 198 | Reward: 9.0 | Polciy Loss: -15.11681842803955 | Steps: 2359
Episode: 199 | Reward: 9.0 | Polciy Loss: -14.891830444335938 | Steps: 2368
Episode: 200 | Reward: 10.0 | Polciy Loss: -14.882737159729004 | Steps: 2378
