/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([2, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 9.0 | Polciy Loss: -1.0823043584823608 | Steps: 9
Episode: 2 | Reward: 11.0 | Polciy Loss: -3.3405799865722656 | Steps: 20
Episode: 3 | Reward: 10.0 | Polciy Loss: -9.298755645751953 | Steps: 30
Episode: 4 | Reward: 9.0 | Polciy Loss: -17.804738998413086 | Steps: 39
Episode: 5 | Reward: 9.0 | Polciy Loss: -25.363889694213867 | Steps: 48
Episode: 6 | Reward: 10.0 | Polciy Loss: -37.553955078125 | Steps: 58
Episode: 7 | Reward: 9.0 | Polciy Loss: nan | Steps: 67
Episode: 8 | Reward: 9.0 | Polciy Loss: nan | Steps: 76
Episode: 9 | Reward: 10.0 | Polciy Loss: nan | Steps: 86
Episode: 10 | Reward: 10.0 | Polciy Loss: nan | Steps: 96
Episode: 11 | Reward: 10.0 | Polciy Loss: nan | Steps: 106
Episode: 12 | Reward: 8.0 | Polciy Loss: nan | Steps: 114
Episode: 13 | Reward: 8.0 | Polciy Loss: nan | Steps: 122
Episode: 14 | Reward: 10.0 | Polciy Loss: nan | Steps: 132
Episode: 15 | Reward: 10.0 | Polciy Loss: nan | Steps: 142
Episode: 16 | Reward: 9.0 | Polciy Loss: nan | Steps: 151
Episode: 17 | Reward: 10.0 | Polciy Loss: nan | Steps: 161
Episode: 18 | Reward: 10.0 | Polciy Loss: nan | Steps: 171
Episode: 19 | Reward: 10.0 | Polciy Loss: nan | Steps: 181
Episode: 20 | Reward: 10.0 | Polciy Loss: nan | Steps: 191
Episode: 21 | Reward: 10.0 | Polciy Loss: nan | Steps: 201
Episode: 22 | Reward: 10.0 | Polciy Loss: nan | Steps: 211
Episode: 23 | Reward: 10.0 | Polciy Loss: nan | Steps: 221
Episode: 24 | Reward: 9.0 | Polciy Loss: nan | Steps: 230
Episode: 25 | Reward: 9.0 | Polciy Loss: nan | Steps: 239
Episode: 26 | Reward: 10.0 | Polciy Loss: nan | Steps: 249
Episode: 27 | Reward: 9.0 | Polciy Loss: nan | Steps: 258
Episode: 28 | Reward: 11.0 | Polciy Loss: nan | Steps: 269
Episode: 29 | Reward: 9.0 | Polciy Loss: nan | Steps: 278
Episode: 30 | Reward: 8.0 | Polciy Loss: nan | Steps: 286
Episode: 31 | Reward: 10.0 | Polciy Loss: nan | Steps: 296
Episode: 32 | Reward: 9.0 | Polciy Loss: nan | Steps: 305
Episode: 33 | Reward: 11.0 | Polciy Loss: nan | Steps: 316
Episode: 34 | Reward: 8.0 | Polciy Loss: nan | Steps: 324
Episode: 35 | Reward: 9.0 | Polciy Loss: nan | Steps: 333
Episode: 36 | Reward: 10.0 | Polciy Loss: nan | Steps: 343
Episode: 37 | Reward: 10.0 | Polciy Loss: nan | Steps: 353
Episode: 38 | Reward: 9.0 | Polciy Loss: nan | Steps: 362
Episode: 39 | Reward: 10.0 | Polciy Loss: nan | Steps: 372
Episode: 40 | Reward: 9.0 | Polciy Loss: nan | Steps: 381
Episode: 41 | Reward: 10.0 | Polciy Loss: nan | Steps: 391
Episode: 42 | Reward: 10.0 | Polciy Loss: nan | Steps: 401
Episode: 43 | Reward: 10.0 | Polciy Loss: nan | Steps: 411
Episode: 44 | Reward: 8.0 | Polciy Loss: nan | Steps: 419
Episode: 45 | Reward: 10.0 | Polciy Loss: nan | Steps: 429
Episode: 46 | Reward: 10.0 | Polciy Loss: nan | Steps: 439
Episode: 47 | Reward: 9.0 | Polciy Loss: nan | Steps: 448
Episode: 48 | Reward: 9.0 | Polciy Loss: nan | Steps: 457
Episode: 49 | Reward: 8.0 | Polciy Loss: nan | Steps: 465
Episode: 50 | Reward: 10.0 | Polciy Loss: nan | Steps: 475
Episode: 51 | Reward: 9.0 | Polciy Loss: nan | Steps: 484
Episode: 52 | Reward: 10.0 | Polciy Loss: nan | Steps: 494
Episode: 53 | Reward: 10.0 | Polciy Loss: nan | Steps: 504
Episode: 54 | Reward: 9.0 | Polciy Loss: nan | Steps: 513
Episode: 55 | Reward: 10.0 | Polciy Loss: nan | Steps: 523
Episode: 56 | Reward: 8.0 | Polciy Loss: nan | Steps: 531
Episode: 57 | Reward: 10.0 | Polciy Loss: nan | Steps: 541
Episode: 58 | Reward: 9.0 | Polciy Loss: nan | Steps: 550
Episode: 59 | Reward: 10.0 | Polciy Loss: nan | Steps: 560
Episode: 60 | Reward: 10.0 | Polciy Loss: nan | Steps: 570
Episode: 61 | Reward: 10.0 | Polciy Loss: nan | Steps: 580
Episode: 62 | Reward: 9.0 | Polciy Loss: nan | Steps: 589
Episode: 63 | Reward: 10.0 | Polciy Loss: nan | Steps: 599
Episode: 64 | Reward: 9.0 | Polciy Loss: nan | Steps: 608
Episode: 65 | Reward: 9.0 | Polciy Loss: nan | Steps: 617
Episode: 66 | Reward: 10.0 | Polciy Loss: nan | Steps: 627
Episode: 67 | Reward: 10.0 | Polciy Loss: nan | Steps: 637
Episode: 68 | Reward: 11.0 | Polciy Loss: nan | Steps: 648
Episode: 69 | Reward: 10.0 | Polciy Loss: nan | Steps: 658
Episode: 70 | Reward: 8.0 | Polciy Loss: nan | Steps: 666
Episode: 71 | Reward: 9.0 | Polciy Loss: nan | Steps: 675
Episode: 72 | Reward: 8.0 | Polciy Loss: nan | Steps: 683
Episode: 73 | Reward: 10.0 | Polciy Loss: nan | Steps: 693
Episode: 74 | Reward: 10.0 | Polciy Loss: nan | Steps: 703
Episode: 75 | Reward: 11.0 | Polciy Loss: nan | Steps: 714
Episode: 76 | Reward: 10.0 | Polciy Loss: nan | Steps: 724
Episode: 77 | Reward: 9.0 | Polciy Loss: nan | Steps: 733
Episode: 78 | Reward: 9.0 | Polciy Loss: nan | Steps: 742
Episode: 79 | Reward: 10.0 | Polciy Loss: nan | Steps: 752
Episode: 80 | Reward: 10.0 | Polciy Loss: nan | Steps: 762
Episode: 81 | Reward: 10.0 | Polciy Loss: nan | Steps: 772
