/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 26.0 | Polciy Loss: -4.058095932006836 | Steps: 26
Episode: 2 | Reward: 8.0 | Polciy Loss: -8.638221740722656 | Steps: 34
Episode: 3 | Reward: 10.0 | Polciy Loss: -19.11635971069336 | Steps: 44
Episode: 4 | Reward: 9.0 | Polciy Loss: -38.97808074951172 | Steps: 53
Episode: 5 | Reward: 9.0 | Polciy Loss: -75.08422088623047 | Steps: 62
Episode: 6 | Reward: 10.0 | Polciy Loss: -145.46484375 | Steps: 72
Episode: 7 | Reward: 9.0 | Polciy Loss: -258.1402893066406 | Steps: 81
Episode: 8 | Reward: 9.0 | Polciy Loss: -436.86297607421875 | Steps: 90
Episode: 9 | Reward: 10.0 | Polciy Loss: -743.567138671875 | Steps: 100
Episode: 10 | Reward: 10.0 | Polciy Loss: -1219.4697265625 | Steps: 110
Episode: 11 | Reward: 10.0 | Polciy Loss: -1912.1781005859375 | Steps: 120
Episode: 12 | Reward: 8.0 | Polciy Loss: -2698.95263671875 | Steps: 128
Episode: 13 | Reward: 8.0 | Polciy Loss: -3665.339111328125 | Steps: 136
Episode: 14 | Reward: 10.0 | Polciy Loss: -5418.93603515625 | Steps: 146
Episode: 15 | Reward: 10.0 | Polciy Loss: -7632.2392578125 | Steps: 156
Episode: 16 | Reward: 9.0 | Polciy Loss: -10266.95703125 | Steps: 165
Episode: 17 | Reward: 10.0 | Polciy Loss: -14077.33984375 | Steps: 175
Episode: 18 | Reward: 10.0 | Polciy Loss: -18693.4765625 | Steps: 185
Episode: 19 | Reward: 10.0 | Polciy Loss: -24685.01953125 | Steps: 195
Episode: 20 | Reward: 10.0 | Polciy Loss: -32406.78515625 | Steps: 205
Episode: 21 | Reward: 10.0 | Polciy Loss: -41767.71875 | Steps: 215
Episode: 22 | Reward: 10.0 | Polciy Loss: -52917.9921875 | Steps: 225
Episode: 23 | Reward: 10.0 | Polciy Loss: -66688.25 | Steps: 235
Episode: 24 | Reward: 9.0 | Polciy Loss: -82449.515625 | Steps: 244
Episode: 25 | Reward: 9.0 | Polciy Loss: -99218.3828125 | Steps: 253
Episode: 26 | Reward: 10.0 | Polciy Loss: -122969.453125 | Steps: 263
Episode: 27 | Reward: 9.0 | Polciy Loss: -148762.6875 | Steps: 272
Episode: 28 | Reward: 11.0 | Polciy Loss: -184421.734375 | Steps: 283
Episode: 29 | Reward: 9.0 | Polciy Loss: -220642.0625 | Steps: 292
Episode: 30 | Reward: 8.0 | Polciy Loss: -258624.78125 | Steps: 300
Episode: 31 | Reward: 10.0 | Polciy Loss: -303173.625 | Steps: 310
Episode: 32 | Reward: 9.0 | Polciy Loss: -345380.375 | Steps: 319
Episode: 33 | Reward: 11.0 | Polciy Loss: -439147.9375 | Steps: 330
Episode: 34 | Reward: 8.0 | Polciy Loss: -494802.6875 | Steps: 338
Episode: 35 | Reward: 9.0 | Polciy Loss: -575740.5 | Steps: 347
Episode: 36 | Reward: 10.0 | Polciy Loss: -635510.125 | Steps: 357
Episode: 37 | Reward: 10.0 | Polciy Loss: -759700.75 | Steps: 367
Episode: 38 | Reward: 9.0 | Polciy Loss: -887775.875 | Steps: 376
Episode: 39 | Reward: 10.0 | Polciy Loss: -990110.875 | Steps: 386
Episode: 40 | Reward: 9.0 | Polciy Loss: -1076345.0 | Steps: 395
Episode: 41 | Reward: 10.0 | Polciy Loss: -1353728.375 | Steps: 405
Episode: 42 | Reward: 10.0 | Polciy Loss: -1461068.5 | Steps: 415
Episode: 43 | Reward: 10.0 | Polciy Loss: -1832872.25 | Steps: 425
Episode: 44 | Reward: 8.0 | Polciy Loss: -1888420.875 | Steps: 433
