/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 26.0 | Polciy Loss: -3.5572476387023926 | Steps: 26
Episode: 2 | Reward: 18.0 | Polciy Loss: -2.8229973316192627 | Steps: 44
Episode: 3 | Reward: 15.0 | Polciy Loss: -3.2743008136749268 | Steps: 59
Episode: 4 | Reward: 16.0 | Polciy Loss: -3.6976401805877686 | Steps: 75
Episode: 5 | Reward: 9.0 | Polciy Loss: -3.731414556503296 | Steps: 84
Episode: 6 | Reward: 10.0 | Polciy Loss: -4.029033660888672 | Steps: 94
Episode: 7 | Reward: 9.0 | Polciy Loss: -4.222075462341309 | Steps: 103
Episode: 8 | Reward: 9.0 | Polciy Loss: -4.425559043884277 | Steps: 112
Episode: 9 | Reward: 10.0 | Polciy Loss: -4.8249077796936035 | Steps: 122
Episode: 10 | Reward: 11.0 | Polciy Loss: -5.1382317543029785 | Steps: 133
Episode: 11 | Reward: 10.0 | Polciy Loss: -5.457619667053223 | Steps: 143
Episode: 12 | Reward: 13.0 | Polciy Loss: -5.951223850250244 | Steps: 156
Episode: 13 | Reward: 9.0 | Polciy Loss: -6.247304916381836 | Steps: 165
Episode: 14 | Reward: 8.0 | Polciy Loss: -6.520644664764404 | Steps: 173
Episode: 15 | Reward: 9.0 | Polciy Loss: -6.919160842895508 | Steps: 182
Episode: 16 | Reward: 9.0 | Polciy Loss: -7.352492809295654 | Steps: 191
Episode: 17 | Reward: 10.0 | Polciy Loss: -7.910072326660156 | Steps: 201
Episode: 18 | Reward: 15.0 | Polciy Loss: -8.72438907623291 | Steps: 216
Episode: 19 | Reward: 10.0 | Polciy Loss: -9.2218656539917 | Steps: 226
Episode: 20 | Reward: 10.0 | Polciy Loss: -9.826166152954102 | Steps: 236
Episode: 21 | Reward: 10.0 | Polciy Loss: -10.631753921508789 | Steps: 246
Episode: 22 | Reward: 10.0 | Polciy Loss: -11.291536331176758 | Steps: 256
Episode: 23 | Reward: 10.0 | Polciy Loss: -11.482117652893066 | Steps: 266
Episode: 24 | Reward: 9.0 | Polciy Loss: -12.2962646484375 | Steps: 275
Episode: 25 | Reward: 9.0 | Polciy Loss: -13.534086227416992 | Steps: 284
Episode: 26 | Reward: 10.0 | Polciy Loss: -13.44105052947998 | Steps: 294
Episode: 27 | Reward: 9.0 | Polciy Loss: -14.423704147338867 | Steps: 303
Episode: 28 | Reward: 11.0 | Polciy Loss: -16.020471572875977 | Steps: 314
Episode: 29 | Reward: 9.0 | Polciy Loss: -16.88077735900879 | Steps: 323
Episode: 30 | Reward: 8.0 | Polciy Loss: -17.850326538085938 | Steps: 331
Episode: 31 | Reward: 10.0 | Polciy Loss: -18.447330474853516 | Steps: 341
Episode: 32 | Reward: 9.0 | Polciy Loss: -19.528762817382812 | Steps: 350
Episode: 33 | Reward: 11.0 | Polciy Loss: -20.761869430541992 | Steps: 361
Episode: 34 | Reward: 8.0 | Polciy Loss: -21.850017547607422 | Steps: 369
Episode: 35 | Reward: 9.0 | Polciy Loss: -23.341875076293945 | Steps: 378
Episode: 36 | Reward: 10.0 | Polciy Loss: -24.729480743408203 | Steps: 388
Episode: 37 | Reward: 10.0 | Polciy Loss: -26.0185489654541 | Steps: 398
Episode: 38 | Reward: 9.0 | Polciy Loss: -27.439022064208984 | Steps: 407
Episode: 39 | Reward: 10.0 | Polciy Loss: -28.557300567626953 | Steps: 417
Episode: 40 | Reward: 9.0 | Polciy Loss: -31.40281105041504 | Steps: 426
Episode: 41 | Reward: 10.0 | Polciy Loss: -31.44399642944336 | Steps: 436
Episode: 42 | Reward: 10.0 | Polciy Loss: -33.71210479736328 | Steps: 446
Episode: 43 | Reward: 10.0 | Polciy Loss: -35.665863037109375 | Steps: 456
Episode: 44 | Reward: 8.0 | Polciy Loss: -37.25971984863281 | Steps: 464
Episode: 45 | Reward: 9.0 | Polciy Loss: -39.92140579223633 | Steps: 473
Episode: 46 | Reward: 9.0 | Polciy Loss: -41.997493743896484 | Steps: 482
Episode: 47 | Reward: 9.0 | Polciy Loss: -43.24601364135742 | Steps: 491
Episode: 48 | Reward: 10.0 | Polciy Loss: -46.022369384765625 | Steps: 501
Episode: 49 | Reward: 10.0 | Polciy Loss: -45.83211898803711 | Steps: 511
Episode: 50 | Reward: 9.0 | Polciy Loss: -50.471492767333984 | Steps: 520
Episode: 51 | Reward: 9.0 | Polciy Loss: -55.17638397216797 | Steps: 529
Episode: 52 | Reward: 14.0 | Polciy Loss: -57.363338470458984 | Steps: 543
Episode: 53 | Reward: 11.0 | Polciy Loss: -64.90769958496094 | Steps: 554
Episode: 54 | Reward: 10.0 | Polciy Loss: -67.47002410888672 | Steps: 564
Episode: 55 | Reward: 9.0 | Polciy Loss: -70.4637451171875 | Steps: 573
Episode: 56 | Reward: 10.0 | Polciy Loss: -72.52035522460938 | Steps: 583
Episode: 57 | Reward: 8.0 | Polciy Loss: -73.9457778930664 | Steps: 591
Episode: 58 | Reward: 10.0 | Polciy Loss: -80.09519958496094 | Steps: 601
Episode: 59 | Reward: 9.0 | Polciy Loss: -81.40564727783203 | Steps: 610
Episode: 60 | Reward: 9.0 | Polciy Loss: -89.71831512451172 | Steps: 619
Episode: 61 | Reward: 9.0 | Polciy Loss: -96.73207092285156 | Steps: 628
Episode: 62 | Reward: 10.0 | Polciy Loss: -99.81257629394531 | Steps: 638
Episode: 63 | Reward: 8.0 | Polciy Loss: -106.74432373046875 | Steps: 646
Episode: 64 | Reward: 9.0 | Polciy Loss: -105.91181945800781 | Steps: 655
Episode: 65 | Reward: 9.0 | Polciy Loss: -118.75466918945312 | Steps: 664
Episode: 66 | Reward: 9.0 | Polciy Loss: -125.6829833984375 | Steps: 673
Episode: 67 | Reward: 9.0 | Polciy Loss: -128.98048400878906 | Steps: 682
Episode: 68 | Reward: 8.0 | Polciy Loss: -132.91006469726562 | Steps: 690
Episode: 69 | Reward: 11.0 | Polciy Loss: -144.17233276367188 | Steps: 701
Episode: 70 | Reward: 17.0 | Polciy Loss: -158.2279510498047 | Steps: 718
Episode: 71 | Reward: 32.0 | Polciy Loss: -189.47079467773438 | Steps: 750
Episode: 72 | Reward: 168.0 | Polciy Loss: -505.0122375488281 | Steps: 918
Episode: 73 | Reward: 93.0 | Polciy Loss: -896.0565185546875 | Steps: 1011
Episode: 74 | Reward: 89.0 | Polciy Loss: -1413.045166015625 | Steps: 1100
Episode: 75 | Reward: 77.0 | Polciy Loss: -2164.827880859375 | Steps: 1177
Episode: 76 | Reward: 100.0 | Polciy Loss: -3954.28466796875 | Steps: 1277
Episode: 77 | Reward: 200.0 | Polciy Loss: -11907.58984375 | Steps: 1477
Episode: 78 | Reward: 200.0 | Polciy Loss: -34887.9296875 | Steps: 1677
Episode: 79 | Reward: 172.0 | Polciy Loss: -87605.140625 | Steps: 1849
Episode: 80 | Reward: 200.0 | Polciy Loss: -251604.6875 | Steps: 2049
Episode: 81 | Reward: 200.0 | Polciy Loss: -759309.875 | Steps: 2249
Episode: 82 | Reward: 200.0 | Polciy Loss: -2147259.5 | Steps: 2449
Episode: 83 | Reward: 200.0 | Polciy Loss: -6960861.0 | Steps: 2649
Episode: 84 | Reward: 139.0 | Polciy Loss: -13708314.0 | Steps: 2788
Episode: 85 | Reward: 131.0 | Polciy Loss: -25872980.0 | Steps: 2919
Episode: 86 | Reward: 89.0 | Polciy Loss: -43369864.0 | Steps: 3008
Episode: 87 | Reward: 66.0 | Polciy Loss: -61227240.0 | Steps: 3074
Episode: 88 | Reward: 44.0 | Polciy Loss: -71891168.0 | Steps: 3118
Episode: 89 | Reward: 38.0 | Polciy Loss: -89449256.0 | Steps: 3156
Episode: 90 | Reward: 25.0 | Polciy Loss: -100462080.0 | Steps: 3181
Episode: 91 | Reward: 21.0 | Polciy Loss: -118147880.0 | Steps: 3202
Episode: 92 | Reward: 16.0 | Polciy Loss: -120651936.0 | Steps: 3218
Episode: 93 | Reward: 14.0 | Polciy Loss: -130971800.0 | Steps: 3232
Episode: 94 | Reward: 14.0 | Polciy Loss: -144403920.0 | Steps: 3246
Episode: 95 | Reward: 14.0 | Polciy Loss: -148610352.0 | Steps: 3260
Episode: 96 | Reward: 13.0 | Polciy Loss: -161388096.0 | Steps: 3273
Episode: 97 | Reward: 15.0 | Polciy Loss: -168126384.0 | Steps: 3288
Episode: 98 | Reward: 14.0 | Polciy Loss: -173670544.0 | Steps: 3302
