/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 26.0 | Polciy Loss: -3.6507349014282227 | Steps: 26
Episode: 2 | Reward: 21.0 | Polciy Loss: -3.1845204830169678 | Steps: 47
Episode: 3 | Reward: 14.0 | Polciy Loss: -3.425569772720337 | Steps: 61
Episode: 4 | Reward: 13.0 | Polciy Loss: -3.9203665256500244 | Steps: 74
Episode: 5 | Reward: 9.0 | Polciy Loss: -3.958530902862549 | Steps: 83
Episode: 6 | Reward: 10.0 | Polciy Loss: -4.308557987213135 | Steps: 93
Episode: 7 | Reward: 9.0 | Polciy Loss: -4.562540531158447 | Steps: 102
Episode: 8 | Reward: 9.0 | Polciy Loss: -4.801253795623779 | Steps: 111
Episode: 9 | Reward: 10.0 | Polciy Loss: -5.272520542144775 | Steps: 121
Episode: 10 | Reward: 19.0 | Polciy Loss: -5.885781288146973 | Steps: 140
Episode: 11 | Reward: 16.0 | Polciy Loss: -6.6962890625 | Steps: 156
Episode: 12 | Reward: 8.0 | Polciy Loss: -7.055517673492432 | Steps: 164
Episode: 13 | Reward: 12.0 | Polciy Loss: -7.61070442199707 | Steps: 176
Episode: 14 | Reward: 13.0 | Polciy Loss: -8.306066513061523 | Steps: 189
Episode: 15 | Reward: 10.0 | Polciy Loss: -9.137656211853027 | Steps: 199
Episode: 16 | Reward: 9.0 | Polciy Loss: -10.129812240600586 | Steps: 208
Episode: 17 | Reward: 10.0 | Polciy Loss: -10.386302947998047 | Steps: 218
Episode: 18 | Reward: 10.0 | Polciy Loss: -10.858237266540527 | Steps: 228
Episode: 19 | Reward: 10.0 | Polciy Loss: -11.891914367675781 | Steps: 238
Episode: 20 | Reward: 10.0 | Polciy Loss: -13.34889030456543 | Steps: 248
Episode: 21 | Reward: 10.0 | Polciy Loss: -13.604815483093262 | Steps: 258
Episode: 22 | Reward: 10.0 | Polciy Loss: -14.4218168258667 | Steps: 268
Episode: 23 | Reward: 10.0 | Polciy Loss: -15.941853523254395 | Steps: 278
Episode: 24 | Reward: 9.0 | Polciy Loss: -17.096181869506836 | Steps: 287
Episode: 25 | Reward: 9.0 | Polciy Loss: -18.110801696777344 | Steps: 296
Episode: 26 | Reward: 10.0 | Polciy Loss: -18.798236846923828 | Steps: 306
Episode: 27 | Reward: 9.0 | Polciy Loss: -20.67284393310547 | Steps: 315
Episode: 28 | Reward: 11.0 | Polciy Loss: -22.591957092285156 | Steps: 326
Episode: 29 | Reward: 9.0 | Polciy Loss: -23.305633544921875 | Steps: 335
Episode: 30 | Reward: 8.0 | Polciy Loss: -25.4311580657959 | Steps: 343
Episode: 31 | Reward: 10.0 | Polciy Loss: -27.26517105102539 | Steps: 353
Episode: 32 | Reward: 9.0 | Polciy Loss: -29.420652389526367 | Steps: 362
Episode: 33 | Reward: 11.0 | Polciy Loss: -30.23405647277832 | Steps: 373
Episode: 34 | Reward: 8.0 | Polciy Loss: -32.13764572143555 | Steps: 381
Episode: 35 | Reward: 9.0 | Polciy Loss: -34.77777862548828 | Steps: 390
Episode: 36 | Reward: 25.0 | Polciy Loss: -40.67523193359375 | Steps: 415
Episode: 37 | Reward: 13.0 | Polciy Loss: -46.17713165283203 | Steps: 428
Episode: 38 | Reward: 12.0 | Polciy Loss: -47.45813751220703 | Steps: 440
Episode: 39 | Reward: 10.0 | Polciy Loss: -52.84604263305664 | Steps: 450
Episode: 40 | Reward: 9.0 | Polciy Loss: -54.26533126831055 | Steps: 459
Episode: 41 | Reward: 9.0 | Polciy Loss: -57.80593490600586 | Steps: 468
Episode: 42 | Reward: 9.0 | Polciy Loss: -61.82667922973633 | Steps: 477
Episode: 43 | Reward: 9.0 | Polciy Loss: -63.3830451965332 | Steps: 486
Episode: 44 | Reward: 10.0 | Polciy Loss: -69.9465560913086 | Steps: 496
Episode: 45 | Reward: 9.0 | Polciy Loss: -75.89823913574219 | Steps: 505
Episode: 46 | Reward: 9.0 | Polciy Loss: -82.02439880371094 | Steps: 514
Episode: 47 | Reward: 9.0 | Polciy Loss: -86.16556549072266 | Steps: 523
Episode: 48 | Reward: 10.0 | Polciy Loss: -91.73690795898438 | Steps: 533
Episode: 49 | Reward: 10.0 | Polciy Loss: -96.17843627929688 | Steps: 543
Episode: 50 | Reward: 9.0 | Polciy Loss: -106.37024688720703 | Steps: 552
Episode: 51 | Reward: 9.0 | Polciy Loss: -105.06910705566406 | Steps: 561
Episode: 52 | Reward: 9.0 | Polciy Loss: -111.89954376220703 | Steps: 570
Episode: 53 | Reward: 9.0 | Polciy Loss: -119.6868667602539 | Steps: 579
Episode: 54 | Reward: 10.0 | Polciy Loss: -128.40037536621094 | Steps: 589
Episode: 55 | Reward: 9.0 | Polciy Loss: -134.54376220703125 | Steps: 598
Episode: 56 | Reward: 10.0 | Polciy Loss: -147.23440551757812 | Steps: 608
Episode: 57 | Reward: 8.0 | Polciy Loss: -157.6916961669922 | Steps: 616
Episode: 58 | Reward: 10.0 | Polciy Loss: -159.13009643554688 | Steps: 626
Episode: 59 | Reward: 9.0 | Polciy Loss: -168.35382080078125 | Steps: 635
Episode: 60 | Reward: 9.0 | Polciy Loss: -178.76956176757812 | Steps: 644
Episode: 61 | Reward: 9.0 | Polciy Loss: -190.3399200439453 | Steps: 653
Episode: 62 | Reward: 10.0 | Polciy Loss: -212.1157684326172 | Steps: 663
Episode: 63 | Reward: 8.0 | Polciy Loss: -219.153564453125 | Steps: 671
Episode: 64 | Reward: 9.0 | Polciy Loss: -231.18368530273438 | Steps: 680
Episode: 65 | Reward: 9.0 | Polciy Loss: -244.2159423828125 | Steps: 689
Episode: 66 | Reward: 9.0 | Polciy Loss: -256.40704345703125 | Steps: 698
Episode: 67 | Reward: 9.0 | Polciy Loss: -277.0313415527344 | Steps: 707
Episode: 68 | Reward: 8.0 | Polciy Loss: -309.28704833984375 | Steps: 715
Episode: 69 | Reward: 9.0 | Polciy Loss: -316.32568359375 | Steps: 724
Episode: 70 | Reward: 11.0 | Polciy Loss: -343.02117919921875 | Steps: 735
Episode: 71 | Reward: 10.0 | Polciy Loss: -360.1512451171875 | Steps: 745
Episode: 72 | Reward: 10.0 | Polciy Loss: -397.19403076171875 | Steps: 755
Episode: 73 | Reward: 9.0 | Polciy Loss: -404.742431640625 | Steps: 764
Episode: 74 | Reward: 9.0 | Polciy Loss: -435.31646728515625 | Steps: 773
Episode: 75 | Reward: 20.0 | Polciy Loss: -520.1400756835938 | Steps: 793
