/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 9.0 | Polciy Loss: -1.053769588470459 | Steps: 9
Episode: 2 | Reward: 11.0 | Polciy Loss: -3.1839640140533447 | Steps: 20
Episode: 3 | Reward: 10.0 | Polciy Loss: -8.83150577545166 | Steps: 30
Episode: 4 | Reward: 9.0 | Polciy Loss: -17.625349044799805 | Steps: 39
Episode: 5 | Reward: 9.0 | Polciy Loss: -25.056270599365234 | Steps: 48
Episode: 6 | Reward: 10.0 | Polciy Loss: -37.3834114074707 | Steps: 58
Episode: 7 | Reward: 9.0 | Polciy Loss: nan | Steps: 67
Episode: 8 | Reward: 9.0 | Polciy Loss: nan | Steps: 76
Episode: 9 | Reward: 10.0 | Polciy Loss: nan | Steps: 86
Episode: 10 | Reward: 10.0 | Polciy Loss: nan | Steps: 96
Episode: 11 | Reward: 10.0 | Polciy Loss: nan | Steps: 106
Episode: 12 | Reward: 8.0 | Polciy Loss: nan | Steps: 114
Episode: 13 | Reward: 8.0 | Polciy Loss: nan | Steps: 122
Episode: 14 | Reward: 10.0 | Polciy Loss: nan | Steps: 132
Episode: 15 | Reward: 10.0 | Polciy Loss: nan | Steps: 142
Episode: 16 | Reward: 9.0 | Polciy Loss: nan | Steps: 151
Episode: 17 | Reward: 10.0 | Polciy Loss: nan | Steps: 161
Episode: 18 | Reward: 10.0 | Polciy Loss: nan | Steps: 171
Episode: 19 | Reward: 10.0 | Polciy Loss: nan | Steps: 181
Episode: 20 | Reward: 10.0 | Polciy Loss: nan | Steps: 191
Episode: 21 | Reward: 10.0 | Polciy Loss: nan | Steps: 201
Episode: 22 | Reward: 10.0 | Polciy Loss: nan | Steps: 211
Episode: 23 | Reward: 10.0 | Polciy Loss: nan | Steps: 221
Episode: 24 | Reward: 9.0 | Polciy Loss: nan | Steps: 230
Episode: 25 | Reward: 9.0 | Polciy Loss: nan | Steps: 239
Episode: 26 | Reward: 10.0 | Polciy Loss: nan | Steps: 249
Episode: 27 | Reward: 9.0 | Polciy Loss: nan | Steps: 258
Episode: 28 | Reward: 11.0 | Polciy Loss: nan | Steps: 269
Episode: 29 | Reward: 9.0 | Polciy Loss: nan | Steps: 278
Episode: 30 | Reward: 8.0 | Polciy Loss: nan | Steps: 286
Episode: 31 | Reward: 10.0 | Polciy Loss: nan | Steps: 296
Episode: 32 | Reward: 9.0 | Polciy Loss: nan | Steps: 305
Episode: 33 | Reward: 11.0 | Polciy Loss: nan | Steps: 316
Episode: 34 | Reward: 8.0 | Polciy Loss: nan | Steps: 324
Episode: 35 | Reward: 9.0 | Polciy Loss: nan | Steps: 333
Episode: 36 | Reward: 10.0 | Polciy Loss: nan | Steps: 343
