/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 26.0 | Polciy Loss: -3.6507349014282227 | Steps: 26
Episode: 2 | Reward: 21.0 | Polciy Loss: -3.1845178604125977 | Steps: 47
Episode: 3 | Reward: 14.0 | Polciy Loss: -3.425567150115967 | Steps: 61
Episode: 4 | Reward: 13.0 | Polciy Loss: -3.9203665256500244 | Steps: 74
Episode: 5 | Reward: 9.0 | Polciy Loss: -3.9585325717926025 | Steps: 83
Episode: 6 | Reward: 10.0 | Polciy Loss: -4.3085618019104 | Steps: 93
Episode: 7 | Reward: 9.0 | Polciy Loss: -4.562544822692871 | Steps: 102
Episode: 8 | Reward: 9.0 | Polciy Loss: -4.801259994506836 | Steps: 111
Episode: 9 | Reward: 10.0 | Polciy Loss: -5.272523403167725 | Steps: 121
Episode: 10 | Reward: 19.0 | Polciy Loss: -5.885771751403809 | Steps: 140
Episode: 11 | Reward: 16.0 | Polciy Loss: -6.696262359619141 | Steps: 156
Episode: 12 | Reward: 8.0 | Polciy Loss: -7.055459976196289 | Steps: 164
Episode: 13 | Reward: 12.0 | Polciy Loss: -7.610604763031006 | Steps: 176
Episode: 14 | Reward: 13.0 | Polciy Loss: -8.305961608886719 | Steps: 189
Episode: 15 | Reward: 10.0 | Polciy Loss: -9.137517929077148 | Steps: 199
Episode: 16 | Reward: 9.0 | Polciy Loss: -10.129655838012695 | Steps: 208
Episode: 17 | Reward: 10.0 | Polciy Loss: -10.386151313781738 | Steps: 218
Episode: 18 | Reward: 10.0 | Polciy Loss: -10.858086585998535 | Steps: 228
Episode: 19 | Reward: 10.0 | Polciy Loss: -11.89177417755127 | Steps: 238
Episode: 20 | Reward: 10.0 | Polciy Loss: -13.348712921142578 | Steps: 248
Episode: 21 | Reward: 10.0 | Polciy Loss: -13.604633331298828 | Steps: 258
Episode: 22 | Reward: 10.0 | Polciy Loss: -14.421661376953125 | Steps: 268
Episode: 23 | Reward: 10.0 | Polciy Loss: -15.941715240478516 | Steps: 278
Episode: 24 | Reward: 9.0 | Polciy Loss: -17.09596824645996 | Steps: 287
Episode: 25 | Reward: 9.0 | Polciy Loss: -18.110570907592773 | Steps: 296
Episode: 26 | Reward: 10.0 | Polciy Loss: -18.79802703857422 | Steps: 306
Episode: 27 | Reward: 9.0 | Polciy Loss: -20.672700881958008 | Steps: 315
Episode: 28 | Reward: 11.0 | Polciy Loss: -22.591638565063477 | Steps: 326
Episode: 29 | Reward: 9.0 | Polciy Loss: -23.305328369140625 | Steps: 335
Episode: 30 | Reward: 8.0 | Polciy Loss: -25.43092155456543 | Steps: 343
