/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 26.0 | Polciy Loss: -1.8253672122955322 | Steps: 26
Episode: 2 | Reward: 21.0 | Polciy Loss: -1.592259168624878 | Steps: 47
Episode: 3 | Reward: 14.0 | Polciy Loss: -1.7127835750579834 | Steps: 61
Episode: 4 | Reward: 13.0 | Polciy Loss: -1.9601836204528809 | Steps: 74
Episode: 5 | Reward: 9.0 | Polciy Loss: -1.9792661666870117 | Steps: 83
Episode: 6 | Reward: 10.0 | Polciy Loss: -2.154280662536621 | Steps: 93
Episode: 7 | Reward: 9.0 | Polciy Loss: -2.2812726497650146 | Steps: 102
Episode: 8 | Reward: 9.0 | Polciy Loss: -2.400630235671997 | Steps: 111
Episode: 9 | Reward: 10.0 | Polciy Loss: -2.6362621784210205 | Steps: 121
Episode: 10 | Reward: 19.0 | Polciy Loss: -2.9428863525390625 | Steps: 140
Episode: 11 | Reward: 16.0 | Polciy Loss: -3.3481285572052 | Steps: 156
Episode: 12 | Reward: 8.0 | Polciy Loss: -3.527714252471924 | Steps: 164
Episode: 13 | Reward: 12.0 | Polciy Loss: -3.805119276046753 | Steps: 176
Episode: 14 | Reward: 13.0 | Polciy Loss: -4.15289831161499 | Steps: 189
Episode: 15 | Reward: 10.0 | Polciy Loss: -4.56876277923584 | Steps: 199
Episode: 16 | Reward: 9.0 | Polciy Loss: -5.064032554626465 | Steps: 208
Episode: 17 | Reward: 10.0 | Polciy Loss: -5.1925859451293945 | Steps: 218
Episode: 18 | Reward: 10.0 | Polciy Loss: -5.428954601287842 | Steps: 228
Episode: 19 | Reward: 10.0 | Polciy Loss: -5.946702003479004 | Steps: 238
Episode: 20 | Reward: 10.0 | Polciy Loss: -6.67398738861084 | Steps: 248
Episode: 21 | Reward: 10.0 | Polciy Loss: -6.8023362159729 | Steps: 258
Episode: 22 | Reward: 10.0 | Polciy Loss: -7.211001873016357 | Steps: 268
Episode: 23 | Reward: 10.0 | Polciy Loss: -7.9712934494018555 | Steps: 278
Episode: 24 | Reward: 9.0 | Polciy Loss: -8.547903060913086 | Steps: 287
Episode: 25 | Reward: 9.0 | Polciy Loss: -9.05540943145752 | Steps: 296
