/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 26.0 | Polciy Loss: -934.5882568359375 | Steps: 26
Episode: 2 | Reward: 21.0 | Polciy Loss: -815.236328125 | Steps: 47
Episode: 3 | Reward: 14.0 | Polciy Loss: -876.9452514648438 | Steps: 61
Episode: 4 | Reward: 13.0 | Polciy Loss: -1003.6138916015625 | Steps: 74
Episode: 5 | Reward: 9.0 | Polciy Loss: -1013.3842163085938 | Steps: 83
Episode: 6 | Reward: 10.0 | Polciy Loss: -1102.991943359375 | Steps: 93
Episode: 7 | Reward: 9.0 | Polciy Loss: -1168.011474609375 | Steps: 102
Episode: 8 | Reward: 9.0 | Polciy Loss: -1229.12255859375 | Steps: 111
Episode: 9 | Reward: 10.0 | Polciy Loss: -1349.766357421875 | Steps: 121
Episode: 10 | Reward: 19.0 | Polciy Loss: -1506.7584228515625 | Steps: 140
Episode: 11 | Reward: 16.0 | Polciy Loss: -1714.2421875 | Steps: 156
Episode: 12 | Reward: 8.0 | Polciy Loss: -1806.19921875 | Steps: 164
Episode: 13 | Reward: 12.0 | Polciy Loss: -1948.2249755859375 | Steps: 176
Episode: 14 | Reward: 13.0 | Polciy Loss: -2126.37451171875 | Steps: 189
Episode: 15 | Reward: 10.0 | Polciy Loss: -2339.214111328125 | Steps: 199
Episode: 16 | Reward: 9.0 | Polciy Loss: -2592.325439453125 | Steps: 208
Episode: 17 | Reward: 10.0 | Polciy Loss: -2659.0244140625 | Steps: 218
Episode: 18 | Reward: 10.0 | Polciy Loss: -2779.85107421875 | Steps: 228
Episode: 19 | Reward: 10.0 | Polciy Loss: -3046.590576171875 | Steps: 238
Episode: 20 | Reward: 10.0 | Polciy Loss: -3416.765380859375 | Steps: 248
Episode: 21 | Reward: 10.0 | Polciy Loss: -3482.47265625 | Steps: 258
Episode: 22 | Reward: 10.0 | Polciy Loss: -3690.625 | Steps: 268
Episode: 23 | Reward: 10.0 | Polciy Loss: -4080.828369140625 | Steps: 278
Episode: 24 | Reward: 9.0 | Polciy Loss: -4377.0810546875 | Steps: 287
Episode: 25 | Reward: 9.0 | Polciy Loss: -4639.5791015625 | Steps: 296
Episode: 26 | Reward: 10.0 | Polciy Loss: -4809.97802734375 | Steps: 306
Episode: 27 | Reward: 9.0 | Polciy Loss: -5297.51708984375 | Steps: 315
Episode: 28 | Reward: 11.0 | Polciy Loss: -5783.05126953125 | Steps: 326
Episode: 29 | Reward: 9.0 | Polciy Loss: -5963.64697265625 | Steps: 335
Episode: 30 | Reward: 8.0 | Polciy Loss: -6516.2646484375 | Steps: 343
Episode: 31 | Reward: 10.0 | Polciy Loss: -6980.05615234375 | Steps: 353
Episode: 32 | Reward: 9.0 | Polciy Loss: -7530.787109375 | Steps: 362
Episode: 33 | Reward: 11.0 | Polciy Loss: -7739.7626953125 | Steps: 373
Episode: 34 | Reward: 8.0 | Polciy Loss: -8224.6259765625 | Steps: 381
Episode: 35 | Reward: 9.0 | Polciy Loss: -8908.88671875 | Steps: 390
Episode: 36 | Reward: 11.0 | Polciy Loss: -9491.7470703125 | Steps: 401
Episode: 37 | Reward: 10.0 | Polciy Loss: -10047.1953125 | Steps: 411
Episode: 38 | Reward: 9.0 | Polciy Loss: -10789.2265625 | Steps: 420
Episode: 39 | Reward: 10.0 | Polciy Loss: -11690.341796875 | Steps: 430
Episode: 40 | Reward: 11.0 | Polciy Loss: -12389.625 | Steps: 441
Episode: 41 | Reward: 16.0 | Polciy Loss: -14610.6044921875 | Steps: 457
Episode: 42 | Reward: 9.0 | Polciy Loss: -14902.08203125 | Steps: 466
Episode: 43 | Reward: 9.0 | Polciy Loss: -15418.0380859375 | Steps: 475
Episode: 44 | Reward: 10.0 | Polciy Loss: -16563.142578125 | Steps: 485
Episode: 45 | Reward: 9.0 | Polciy Loss: -17738.443359375 | Steps: 494
Episode: 46 | Reward: 9.0 | Polciy Loss: -18465.314453125 | Steps: 503
Episode: 47 | Reward: 9.0 | Polciy Loss: -20072.513671875 | Steps: 512
Episode: 48 | Reward: 10.0 | Polciy Loss: -21552.5859375 | Steps: 522
Episode: 49 | Reward: 10.0 | Polciy Loss: -23119.048828125 | Steps: 532
Episode: 50 | Reward: 9.0 | Polciy Loss: -23448.357421875 | Steps: 541
Episode: 51 | Reward: 9.0 | Polciy Loss: -25160.96875 | Steps: 550
