/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 9.0 | Polciy Loss: -176.13760375976562 | Steps: 9
Episode: 2 | Reward: 19.0 | Polciy Loss: -177.01539611816406 | Steps: 28
Episode: 3 | Reward: 27.0 | Polciy Loss: -178.2496337890625 | Steps: 55
Episode: 4 | Reward: 16.0 | Polciy Loss: -178.9999237060547 | Steps: 71
Episode: 5 | Reward: 22.0 | Polciy Loss: -180.0540313720703 | Steps: 93
Episode: 6 | Reward: 17.0 | Polciy Loss: -180.90054321289062 | Steps: 110
Episode: 7 | Reward: 24.0 | Polciy Loss: -182.1479034423828 | Steps: 134
Episode: 8 | Reward: 29.0 | Polciy Loss: -183.76959228515625 | Steps: 163
Episode: 9 | Reward: 15.0 | Polciy Loss: -184.6632080078125 | Steps: 178
Episode: 10 | Reward: 12.0 | Polciy Loss: -185.40994262695312 | Steps: 190
Episode: 11 | Reward: 9.0 | Polciy Loss: -185.98928833007812 | Steps: 199
Episode: 12 | Reward: 26.0 | Polciy Loss: -187.76918029785156 | Steps: 225
Episode: 13 | Reward: 25.0 | Polciy Loss: -189.63775634765625 | Steps: 250
Episode: 14 | Reward: 8.0 | Polciy Loss: -190.276123046875 | Steps: 258
Episode: 15 | Reward: 9.0 | Polciy Loss: -191.01504516601562 | Steps: 267
Episode: 16 | Reward: 10.0 | Polciy Loss: -191.8614501953125 | Steps: 277
Episode: 17 | Reward: 9.0 | Polciy Loss: -192.6446533203125 | Steps: 286
Episode: 18 | Reward: 9.0 | Polciy Loss: -193.468017578125 | Steps: 295
Episode: 19 | Reward: 9.0 | Polciy Loss: -194.31744384765625 | Steps: 304
Episode: 20 | Reward: 9.0 | Polciy Loss: -195.189697265625 | Steps: 313
Episode: 21 | Reward: 8.0 | Polciy Loss: -195.98388671875 | Steps: 321
Episode: 22 | Reward: 9.0 | Polciy Loss: -196.93597412109375 | Steps: 330
Episode: 23 | Reward: 8.0 | Polciy Loss: -197.79824829101562 | Steps: 338
Episode: 24 | Reward: 10.0 | Polciy Loss: -198.90513610839844 | Steps: 348
Episode: 25 | Reward: 11.0 | Polciy Loss: -200.17608642578125 | Steps: 359
Episode: 26 | Reward: 8.0 | Polciy Loss: -201.1300048828125 | Steps: 367
Episode: 27 | Reward: 10.0 | Polciy Loss: -202.3666534423828 | Steps: 377
Episode: 28 | Reward: 8.0 | Polciy Loss: -203.39674377441406 | Steps: 385
Episode: 29 | Reward: 10.0 | Polciy Loss: -204.72694396972656 | Steps: 395
Episode: 30 | Reward: 10.0 | Polciy Loss: -206.11526489257812 | Steps: 405
Episode: 31 | Reward: 9.0 | Polciy Loss: -207.41433715820312 | Steps: 414
Episode: 32 | Reward: 9.0 | Polciy Loss: -208.74569702148438 | Steps: 423
Episode: 33 | Reward: 8.0 | Polciy Loss: -209.95693969726562 | Steps: 431
Episode: 34 | Reward: 10.0 | Polciy Loss: -211.5469207763672 | Steps: 441
Episode: 35 | Reward: 10.0 | Polciy Loss: -213.18727111816406 | Steps: 451
Episode: 36 | Reward: 9.0 | Polciy Loss: -214.69732666015625 | Steps: 460
Episode: 37 | Reward: 9.0 | Polciy Loss: -216.26861572265625 | Steps: 469
Episode: 38 | Reward: 10.0 | Polciy Loss: -218.07542419433594 | Steps: 479
Episode: 39 | Reward: 9.0 | Polciy Loss: -219.71829223632812 | Steps: 488
Episode: 40 | Reward: 9.0 | Polciy Loss: -221.4564208984375 | Steps: 497
Episode: 41 | Reward: 9.0 | Polciy Loss: -223.22064208984375 | Steps: 506
Episode: 42 | Reward: 9.0 | Polciy Loss: -225.07992553710938 | Steps: 515
Episode: 43 | Reward: 9.0 | Polciy Loss: -226.9852752685547 | Steps: 524
Episode: 44 | Reward: 10.0 | Polciy Loss: -229.1910400390625 | Steps: 534
Episode: 45 | Reward: 9.0 | Polciy Loss: -231.22113037109375 | Steps: 543
Episode: 46 | Reward: 9.0 | Polciy Loss: -233.2852783203125 | Steps: 552
Episode: 47 | Reward: 9.0 | Polciy Loss: -235.50726318359375 | Steps: 561
Episode: 48 | Reward: 10.0 | Polciy Loss: -238.01246643066406 | Steps: 571
Episode: 49 | Reward: 10.0 | Polciy Loss: -240.58334350585938 | Steps: 581
Episode: 50 | Reward: 9.0 | Polciy Loss: -242.8845672607422 | Steps: 590
Episode: 51 | Reward: 9.0 | Polciy Loss: -245.388916015625 | Steps: 599
Episode: 52 | Reward: 9.0 | Polciy Loss: -247.90985107421875 | Steps: 608
Episode: 53 | Reward: 9.0 | Polciy Loss: -250.4635467529297 | Steps: 617
Episode: 54 | Reward: 10.0 | Polciy Loss: -253.5255889892578 | Steps: 627
Episode: 55 | Reward: 9.0 | Polciy Loss: -256.4204406738281 | Steps: 636
Episode: 56 | Reward: 10.0 | Polciy Loss: -259.65625 | Steps: 646
Episode: 57 | Reward: 8.0 | Polciy Loss: -262.1685485839844 | Steps: 654
Episode: 58 | Reward: 10.0 | Polciy Loss: -265.7204284667969 | Steps: 664
Episode: 59 | Reward: 9.0 | Polciy Loss: -268.6522216796875 | Steps: 673
Episode: 60 | Reward: 9.0 | Polciy Loss: -272.1295471191406 | Steps: 682
Episode: 61 | Reward: 9.0 | Polciy Loss: -275.3119812011719 | Steps: 691
Episode: 62 | Reward: 10.0 | Polciy Loss: -279.4093322753906 | Steps: 701
Episode: 63 | Reward: 8.0 | Polciy Loss: -282.51531982421875 | Steps: 709
Episode: 64 | Reward: 9.0 | Polciy Loss: -286.1357727050781 | Steps: 718
Episode: 65 | Reward: 9.0 | Polciy Loss: -289.7631530761719 | Steps: 727
Episode: 66 | Reward: 9.0 | Polciy Loss: -293.728515625 | Steps: 736
Episode: 67 | Reward: 9.0 | Polciy Loss: -297.8531799316406 | Steps: 745
Episode: 68 | Reward: 8.0 | Polciy Loss: -301.2767639160156 | Steps: 753
Episode: 69 | Reward: 9.0 | Polciy Loss: -305.9359130859375 | Steps: 762
Episode: 70 | Reward: 11.0 | Polciy Loss: -310.9197998046875 | Steps: 773
Episode: 71 | Reward: 10.0 | Polciy Loss: -316.0238952636719 | Steps: 783
Episode: 72 | Reward: 10.0 | Polciy Loss: -321.0660705566406 | Steps: 793
Episode: 73 | Reward: 9.0 | Polciy Loss: -325.5489196777344 | Steps: 802
Episode: 74 | Reward: 9.0 | Polciy Loss: -331.2101135253906 | Steps: 811
Episode: 75 | Reward: 8.0 | Polciy Loss: -335.4067687988281 | Steps: 819
Episode: 76 | Reward: 9.0 | Polciy Loss: -341.2568054199219 | Steps: 828
Episode: 77 | Reward: 10.0 | Polciy Loss: -347.0517578125 | Steps: 838
Episode: 78 | Reward: 10.0 | Polciy Loss: -352.0916748046875 | Steps: 848
Episode: 79 | Reward: 9.0 | Polciy Loss: -357.7731018066406 | Steps: 857
Episode: 80 | Reward: 9.0 | Polciy Loss: -364.77581787109375 | Steps: 866
Episode: 81 | Reward: 9.0 | Polciy Loss: -370.5728454589844 | Steps: 875
Episode: 82 | Reward: 10.0 | Polciy Loss: -377.2239990234375 | Steps: 885
Episode: 83 | Reward: 9.0 | Polciy Loss: -384.06201171875 | Steps: 894
Episode: 84 | Reward: 8.0 | Polciy Loss: -388.36712646484375 | Steps: 902
Episode: 85 | Reward: 10.0 | Polciy Loss: -397.4294738769531 | Steps: 912
Episode: 86 | Reward: 9.0 | Polciy Loss: -403.444580078125 | Steps: 921
Episode: 87 | Reward: 9.0 | Polciy Loss: -410.296875 | Steps: 930
Episode: 88 | Reward: 8.0 | Polciy Loss: -415.909912109375 | Steps: 938
Episode: 89 | Reward: 10.0 | Polciy Loss: -424.8866882324219 | Steps: 948
Episode: 90 | Reward: 10.0 | Polciy Loss: -432.520263671875 | Steps: 958
Episode: 91 | Reward: 10.0 | Polciy Loss: -441.11614990234375 | Steps: 968
Episode: 92 | Reward: 9.0 | Polciy Loss: -449.0655517578125 | Steps: 977
Episode: 93 | Reward: 8.0 | Polciy Loss: -457.4180908203125 | Steps: 985
Episode: 94 | Reward: 9.0 | Polciy Loss: -463.3345031738281 | Steps: 994
Episode: 95 | Reward: 9.0 | Polciy Loss: -473.09356689453125 | Steps: 1003
Episode: 96 | Reward: 9.0 | Polciy Loss: -482.663330078125 | Steps: 1012
Episode: 97 | Reward: 10.0 | Polciy Loss: -491.6313171386719 | Steps: 1022
Episode: 98 | Reward: 10.0 | Polciy Loss: -502.5985107421875 | Steps: 1032
Episode: 99 | Reward: 10.0 | Polciy Loss: -513.2288818359375 | Steps: 1042
Episode: 100 | Reward: 10.0 | Polciy Loss: -525.9097900390625 | Steps: 1052
Episode: 101 | Reward: 10.0 | Polciy Loss: -534.026611328125 | Steps: 1062
Episode: 102 | Reward: 10.0 | Polciy Loss: -546.0546264648438 | Steps: 1072
Episode: 103 | Reward: 9.0 | Polciy Loss: -556.5387573242188 | Steps: 1081
Episode: 104 | Reward: 10.0 | Polciy Loss: -571.2274169921875 | Steps: 1091
Episode: 105 | Reward: 9.0 | Polciy Loss: -577.6334228515625 | Steps: 1100
Episode: 106 | Reward: 10.0 | Polciy Loss: -590.4200439453125 | Steps: 1110
Episode: 107 | Reward: 10.0 | Polciy Loss: -607.1604614257812 | Steps: 1120
Episode: 108 | Reward: 8.0 | Polciy Loss: -616.1307983398438 | Steps: 1128
Episode: 109 | Reward: 8.0 | Polciy Loss: -625.2081298828125 | Steps: 1136
Episode: 110 | Reward: 9.0 | Polciy Loss: -638.5074462890625 | Steps: 1145
Episode: 111 | Reward: 9.0 | Polciy Loss: -652.6593627929688 | Steps: 1154
Episode: 112 | Reward: 10.0 | Polciy Loss: -665.5977172851562 | Steps: 1164
Episode: 113 | Reward: 8.0 | Polciy Loss: -673.81103515625 | Steps: 1172
Episode: 114 | Reward: 9.0 | Polciy Loss: -690.1988525390625 | Steps: 1181
Episode: 115 | Reward: 8.0 | Polciy Loss: -698.2821044921875 | Steps: 1189
Episode: 116 | Reward: 10.0 | Polciy Loss: -717.9180908203125 | Steps: 1199
Episode: 117 | Reward: 9.0 | Polciy Loss: -727.5504760742188 | Steps: 1208
Episode: 118 | Reward: 10.0 | Polciy Loss: -748.1905517578125 | Steps: 1218
Episode: 119 | Reward: 10.0 | Polciy Loss: -765.2273559570312 | Steps: 1228
Episode: 120 | Reward: 9.0 | Polciy Loss: -777.8717041015625 | Steps: 1237
Episode: 121 | Reward: 9.0 | Polciy Loss: -796.4660034179688 | Steps: 1246
Episode: 122 | Reward: 9.0 | Polciy Loss: -810.5667724609375 | Steps: 1255
Episode: 123 | Reward: 9.0 | Polciy Loss: -822.5955200195312 | Steps: 1264
Episode: 124 | Reward: 9.0 | Polciy Loss: -840.4885864257812 | Steps: 1273
Episode: 125 | Reward: 10.0 | Polciy Loss: -851.5579833984375 | Steps: 1283
Episode: 126 | Reward: 9.0 | Polciy Loss: -881.2081298828125 | Steps: 1292
Episode: 127 | Reward: 9.0 | Polciy Loss: -900.675537109375 | Steps: 1301
Episode: 128 | Reward: 9.0 | Polciy Loss: -913.7037353515625 | Steps: 1310
Episode: 129 | Reward: 9.0 | Polciy Loss: -937.714599609375 | Steps: 1319
Episode: 130 | Reward: 8.0 | Polciy Loss: -950.1455078125 | Steps: 1327
Episode: 131 | Reward: 10.0 | Polciy Loss: -963.115478515625 | Steps: 1337
Episode: 132 | Reward: 9.0 | Polciy Loss: -980.6019897460938 | Steps: 1346
Episode: 133 | Reward: 10.0 | Polciy Loss: -1005.8553466796875 | Steps: 1356
Episode: 134 | Reward: 10.0 | Polciy Loss: -1035.6138916015625 | Steps: 1366
Episode: 135 | Reward: 8.0 | Polciy Loss: -1054.4781494140625 | Steps: 1374
Episode: 136 | Reward: 9.0 | Polciy Loss: -1078.6541748046875 | Steps: 1383
Episode: 137 | Reward: 9.0 | Polciy Loss: -1104.1871337890625 | Steps: 1392
Episode: 138 | Reward: 10.0 | Polciy Loss: -1112.4898681640625 | Steps: 1402
Episode: 139 | Reward: 10.0 | Polciy Loss: -1143.685546875 | Steps: 1412
Episode: 140 | Reward: 10.0 | Polciy Loss: -1174.4219970703125 | Steps: 1422
Episode: 141 | Reward: 10.0 | Polciy Loss: -1198.57861328125 | Steps: 1432
Episode: 142 | Reward: 10.0 | Polciy Loss: -1227.0460205078125 | Steps: 1442
Episode: 143 | Reward: 10.0 | Polciy Loss: -1266.9866943359375 | Steps: 1452
Episode: 144 | Reward: 9.0 | Polciy Loss: -1280.0958251953125 | Steps: 1461
Episode: 145 | Reward: 11.0 | Polciy Loss: -1296.82177734375 | Steps: 1472
Episode: 146 | Reward: 9.0 | Polciy Loss: -1323.104736328125 | Steps: 1481
Episode: 147 | Reward: 8.0 | Polciy Loss: -1380.6126708984375 | Steps: 1489
Episode: 148 | Reward: 9.0 | Polciy Loss: -1398.4344482421875 | Steps: 1498
Episode: 149 | Reward: 9.0 | Polciy Loss: -1421.859375 | Steps: 1507
Episode: 150 | Reward: 9.0 | Polciy Loss: -1440.9725341796875 | Steps: 1516
Episode: 151 | Reward: 9.0 | Polciy Loss: -1488.1751708984375 | Steps: 1525
Episode: 152 | Reward: 10.0 | Polciy Loss: -1508.65185546875 | Steps: 1535
Episode: 153 | Reward: 11.0 | Polciy Loss: -1525.6214599609375 | Steps: 1546
Episode: 154 | Reward: 10.0 | Polciy Loss: -1571.38232421875 | Steps: 1556
Episode: 155 | Reward: 11.0 | Polciy Loss: -1613.7061767578125 | Steps: 1567
Episode: 156 | Reward: 10.0 | Polciy Loss: -1644.102294921875 | Steps: 1577
Episode: 157 | Reward: 9.0 | Polciy Loss: -1678.125732421875 | Steps: 1586
Episode: 158 | Reward: 9.0 | Polciy Loss: -1703.941162109375 | Steps: 1595
Episode: 159 | Reward: 10.0 | Polciy Loss: -1743.634765625 | Steps: 1605
Episode: 160 | Reward: 10.0 | Polciy Loss: -1777.808837890625 | Steps: 1615
Episode: 161 | Reward: 10.0 | Polciy Loss: -1827.8529052734375 | Steps: 1625
Episode: 162 | Reward: 10.0 | Polciy Loss: -1855.330322265625 | Steps: 1635
Episode: 163 | Reward: 9.0 | Polciy Loss: -1892.89453125 | Steps: 1644
Episode: 164 | Reward: 9.0 | Polciy Loss: -1922.571533203125 | Steps: 1653
Episode: 165 | Reward: 10.0 | Polciy Loss: -1952.76123046875 | Steps: 1663
Episode: 166 | Reward: 10.0 | Polciy Loss: -2026.573974609375 | Steps: 1673
Episode: 167 | Reward: 9.0 | Polciy Loss: -2056.681640625 | Steps: 1682
Episode: 168 | Reward: 9.0 | Polciy Loss: -2088.66455078125 | Steps: 1691
Episode: 169 | Reward: 9.0 | Polciy Loss: -2153.363525390625 | Steps: 1700
Episode: 170 | Reward: 9.0 | Polciy Loss: -2151.75341796875 | Steps: 1709
Episode: 171 | Reward: 8.0 | Polciy Loss: -2200.611572265625 | Steps: 1717
Episode: 172 | Reward: 10.0 | Polciy Loss: -2289.44189453125 | Steps: 1727
Episode: 173 | Reward: 10.0 | Polciy Loss: -2324.77734375 | Steps: 1737
Episode: 174 | Reward: 10.0 | Polciy Loss: -2389.244873046875 | Steps: 1747
Episode: 175 | Reward: 11.0 | Polciy Loss: -2426.470703125 | Steps: 1758
Episode: 176 | Reward: 10.0 | Polciy Loss: -2480.867431640625 | Steps: 1768
Episode: 177 | Reward: 10.0 | Polciy Loss: -2523.348388671875 | Steps: 1778
Episode: 178 | Reward: 9.0 | Polciy Loss: -2599.68310546875 | Steps: 1787
Episode: 179 | Reward: 9.0 | Polciy Loss: -2650.356689453125 | Steps: 1796
Episode: 180 | Reward: 11.0 | Polciy Loss: -2730.625244140625 | Steps: 1807
Episode: 181 | Reward: 8.0 | Polciy Loss: -2736.8896484375 | Steps: 1815
Episode: 182 | Reward: 9.0 | Polciy Loss: -2813.899658203125 | Steps: 1824
Episode: 183 | Reward: 10.0 | Polciy Loss: -2823.87451171875 | Steps: 1834
Episode: 184 | Reward: 10.0 | Polciy Loss: -2901.4853515625 | Steps: 1844
Episode: 185 | Reward: 9.0 | Polciy Loss: -2949.72216796875 | Steps: 1853
Episode: 186 | Reward: 11.0 | Polciy Loss: -3098.464599609375 | Steps: 1864
Episode: 187 | Reward: 10.0 | Polciy Loss: -3124.390869140625 | Steps: 1874
Episode: 188 | Reward: 10.0 | Polciy Loss: -3125.423828125 | Steps: 1884
Episode: 189 | Reward: 9.0 | Polciy Loss: -3214.367919921875 | Steps: 1893
Episode: 190 | Reward: 11.0 | Polciy Loss: -3281.90234375 | Steps: 1904
Episode: 191 | Reward: 10.0 | Polciy Loss: -3349.65234375 | Steps: 1914
Episode: 192 | Reward: 9.0 | Polciy Loss: -3375.628173828125 | Steps: 1923
Episode: 193 | Reward: 9.0 | Polciy Loss: -3487.48876953125 | Steps: 1932
Episode: 194 | Reward: 10.0 | Polciy Loss: -3554.92138671875 | Steps: 1942
Episode: 195 | Reward: 9.0 | Polciy Loss: -3541.75439453125 | Steps: 1951
Episode: 196 | Reward: 11.0 | Polciy Loss: -3660.406494140625 | Steps: 1962
Episode: 197 | Reward: 10.0 | Polciy Loss: -3832.215087890625 | Steps: 1972
Episode: 198 | Reward: 10.0 | Polciy Loss: -3852.408203125 | Steps: 1982
Episode: 199 | Reward: 10.0 | Polciy Loss: -3924.606689453125 | Steps: 1992
Episode: 200 | Reward: 9.0 | Polciy Loss: -4074.743896484375 | Steps: 2001
