/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 12.0 | Polciy Loss: -559.2418823242188 | Steps: 12
Episode: 2 | Reward: 8.0 | Polciy Loss: -1089.26513671875 | Steps: 20
Episode: 3 | Reward: 8.0 | Polciy Loss: -1327.886474609375 | Steps: 28
Episode: 4 | Reward: 10.0 | Polciy Loss: -1265.250244140625 | Steps: 38
Episode: 5 | Reward: 10.0 | Polciy Loss: -1106.0975341796875 | Steps: 48
Episode: 6 | Reward: 9.0 | Polciy Loss: -1209.2725830078125 | Steps: 57
Episode: 7 | Reward: 9.0 | Polciy Loss: -1088.18701171875 | Steps: 66
Episode: 8 | Reward: 10.0 | Polciy Loss: -1151.7445068359375 | Steps: 76
Episode: 9 | Reward: 9.0 | Polciy Loss: -1136.1563720703125 | Steps: 85
Episode: 10 | Reward: 9.0 | Polciy Loss: -1189.5399169921875 | Steps: 94
Episode: 11 | Reward: 9.0 | Polciy Loss: -1209.888671875 | Steps: 103
Episode: 12 | Reward: 11.0 | Polciy Loss: -1233.00244140625 | Steps: 114
Episode: 13 | Reward: 10.0 | Polciy Loss: -1273.7991943359375 | Steps: 124
Episode: 14 | Reward: 8.0 | Polciy Loss: -1320.8994140625 | Steps: 132
Episode: 15 | Reward: 9.0 | Polciy Loss: -1432.32421875 | Steps: 141
Episode: 16 | Reward: 9.0 | Polciy Loss: -1491.0614013671875 | Steps: 150
Episode: 17 | Reward: 9.0 | Polciy Loss: -1532.0374755859375 | Steps: 159
Episode: 18 | Reward: 9.0 | Polciy Loss: -1645.643798828125 | Steps: 168
Episode: 19 | Reward: 9.0 | Polciy Loss: -1696.7772216796875 | Steps: 177
Episode: 20 | Reward: 9.0 | Polciy Loss: -1846.4820556640625 | Steps: 186
Episode: 21 | Reward: 8.0 | Polciy Loss: -1909.7679443359375 | Steps: 194
Episode: 22 | Reward: 9.0 | Polciy Loss: -1983.8585205078125 | Steps: 203
Episode: 23 | Reward: 8.0 | Polciy Loss: -2132.388427734375 | Steps: 211
Episode: 24 | Reward: 10.0 | Polciy Loss: -2189.5068359375 | Steps: 221
Episode: 25 | Reward: 10.0 | Polciy Loss: -2166.52587890625 | Steps: 231
Episode: 26 | Reward: 8.0 | Polciy Loss: -2434.686767578125 | Steps: 239
Episode: 27 | Reward: 10.0 | Polciy Loss: -2492.083251953125 | Steps: 249
Episode: 28 | Reward: 8.0 | Polciy Loss: -2657.76025390625 | Steps: 257
Episode: 29 | Reward: 10.0 | Polciy Loss: -2790.117919921875 | Steps: 267
Episode: 30 | Reward: 10.0 | Polciy Loss: -2604.22021484375 | Steps: 277
Episode: 31 | Reward: 9.0 | Polciy Loss: -2824.374267578125 | Steps: 286
Episode: 32 | Reward: 9.0 | Polciy Loss: -2800.48974609375 | Steps: 295
Episode: 33 | Reward: 8.0 | Polciy Loss: -3230.440673828125 | Steps: 303
Episode: 34 | Reward: 10.0 | Polciy Loss: -3287.371826171875 | Steps: 313
Episode: 35 | Reward: 10.0 | Polciy Loss: -3433.3837890625 | Steps: 323
Episode: 36 | Reward: 9.0 | Polciy Loss: -3078.19140625 | Steps: 332
Episode: 37 | Reward: 9.0 | Polciy Loss: -2834.93212890625 | Steps: 341
Episode: 38 | Reward: 10.0 | Polciy Loss: -3039.72802734375 | Steps: 351
Episode: 39 | Reward: 9.0 | Polciy Loss: -2959.3193359375 | Steps: 360
Episode: 40 | Reward: 9.0 | Polciy Loss: -2808.859375 | Steps: 369
Episode: 41 | Reward: 9.0 | Polciy Loss: -2915.56005859375 | Steps: 378
Episode: 42 | Reward: 9.0 | Polciy Loss: -2990.0849609375 | Steps: 387
Episode: 43 | Reward: 9.0 | Polciy Loss: -3053.441162109375 | Steps: 396
Episode: 44 | Reward: 10.0 | Polciy Loss: -3477.845703125 | Steps: 406
Episode: 45 | Reward: 9.0 | Polciy Loss: -3302.67626953125 | Steps: 415
Episode: 46 | Reward: 9.0 | Polciy Loss: -3561.955078125 | Steps: 424
Episode: 47 | Reward: 9.0 | Polciy Loss: -3792.334228515625 | Steps: 433
Episode: 48 | Reward: 10.0 | Polciy Loss: -4083.71240234375 | Steps: 443
Episode: 49 | Reward: 10.0 | Polciy Loss: -4226.4638671875 | Steps: 453
Episode: 50 | Reward: 9.0 | Polciy Loss: -4394.900390625 | Steps: 462
Episode: 51 | Reward: 9.0 | Polciy Loss: -4711.3408203125 | Steps: 471
Episode: 52 | Reward: 9.0 | Polciy Loss: -4778.44873046875 | Steps: 480
Episode: 53 | Reward: 9.0 | Polciy Loss: -5055.5849609375 | Steps: 489
Episode: 54 | Reward: 10.0 | Polciy Loss: -5324.6171875 | Steps: 499
Episode: 55 | Reward: 9.0 | Polciy Loss: -4658.71826171875 | Steps: 508
Episode: 56 | Reward: 10.0 | Polciy Loss: -5695.1455078125 | Steps: 518
Episode: 57 | Reward: 8.0 | Polciy Loss: -5863.25390625 | Steps: 526
Episode: 58 | Reward: 10.0 | Polciy Loss: -5919.83642578125 | Steps: 536
Episode: 59 | Reward: 9.0 | Polciy Loss: -6100.783203125 | Steps: 545
Episode: 60 | Reward: 9.0 | Polciy Loss: -6483.50341796875 | Steps: 554
Episode: 61 | Reward: 9.0 | Polciy Loss: -6759.69091796875 | Steps: 563
Episode: 62 | Reward: 10.0 | Polciy Loss: -5950.111328125 | Steps: 573
Episode: 63 | Reward: 8.0 | Polciy Loss: -6341.646484375 | Steps: 581
