/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/torch/nn/modules/loss.py:535: UserWarning: Using a target size (torch.Size([1, 256, 1])) that is different to the input size (torch.Size([10, 256, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode: 1 | Reward: 26.0 | Polciy Loss: -2.877772092819214 | Steps: 26
Episode: 2 | Reward: 12.0 | Polciy Loss: -2.106247901916504 | Steps: 38
Episode: 3 | Reward: 11.0 | Polciy Loss: -2.6086008548736572 | Steps: 49
Episode: 4 | Reward: 28.0 | Polciy Loss: -2.6724610328674316 | Steps: 77
Episode: 5 | Reward: 9.0 | Polciy Loss: -2.7054195404052734 | Steps: 86
Episode: 6 | Reward: 10.0 | Polciy Loss: -2.806500196456909 | Steps: 96
Episode: 7 | Reward: 9.0 | Polciy Loss: -2.8929171562194824 | Steps: 105
Episode: 8 | Reward: 9.0 | Polciy Loss: -2.923828363418579 | Steps: 114
Episode: 9 | Reward: 10.0 | Polciy Loss: -3.080339193344116 | Steps: 124
Episode: 10 | Reward: 10.0 | Polciy Loss: -3.138418436050415 | Steps: 134
Episode: 11 | Reward: 10.0 | Polciy Loss: -3.2334299087524414 | Steps: 144
Episode: 12 | Reward: 11.0 | Polciy Loss: -3.3261559009552 | Steps: 155
Episode: 13 | Reward: 8.0 | Polciy Loss: -3.454256772994995 | Steps: 163
Episode: 14 | Reward: 21.0 | Polciy Loss: -3.640380859375 | Steps: 184
Episode: 15 | Reward: 15.0 | Polciy Loss: -3.818298101425171 | Steps: 199
Episode: 16 | Reward: 9.0 | Polciy Loss: -3.8626012802124023 | Steps: 208
Episode: 17 | Reward: 16.0 | Polciy Loss: -4.053314685821533 | Steps: 224
Episode: 18 | Reward: 14.0 | Polciy Loss: -4.180488586425781 | Steps: 238
Episode: 19 | Reward: 11.0 | Polciy Loss: -4.347218990325928 | Steps: 249
Episode: 20 | Reward: 33.0 | Polciy Loss: -4.863893032073975 | Steps: 282
Episode: 21 | Reward: 10.0 | Polciy Loss: -4.8534650802612305 | Steps: 292
Episode: 22 | Reward: 10.0 | Polciy Loss: -4.866021156311035 | Steps: 302
Episode: 23 | Reward: 10.0 | Polciy Loss: -4.974353313446045 | Steps: 312
Episode: 24 | Reward: 10.0 | Polciy Loss: -5.028899669647217 | Steps: 322
Episode: 25 | Reward: 9.0 | Polciy Loss: -5.114323616027832 | Steps: 331
