tau,df,EDAC_behv_p_value,EDAC_behv_sum,EDAC_VI_p_value,EDAC_VI_sum,RobustEDAC_behv_p_value,RobustEDAC_behv_sum,RobustEDAC_VI_p_value,RobustEDAC_VI_sum
0.1,5,0.000,0.584,0.001,-2.416,0.000,1.197,0.004,-1.803
0.1,25,0.000,3.987,0.000,1.987,0.000,4.012,0.000,2.012
0.1,125,0.000,2.727,0.000,0.727,0.000,3.066,0.000,1.066
0.5,5,0.018,2.641,0.018,2.641,0.014,2.939,0.014,2.939
0.5,25,0.000,2.742,0.000,2.742,0.000,2.759,0.000,2.759
0.5,125,0.000,3.214,0.000,3.214,0.000,2.901,0.000,2.901
0.9,5,0.522,-5.041,0.178,3.543,0.336,-4.386,0.190,4.198
0.9,25,0.000,-3.424,0.198,4.576,0.000,-3.263,0.216,4.737
0.9,125,0.002,-3.055,0.057,3.412,0.001,-3.084,0.084,3.382
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Tau,DS,EDAC,Robust EDAC,Behv.,VI,,,,
0.1,5,-56,-52,-25,-28,,,,
0.1,25,-75,-72,-25,-27,,,,
0.1,125,-72,-72,-24,-27,,,,
0.5,5,-41,-40,-27,-27,,,,
0.5,25,-90,-78,-28,-27,,,,
0.5,125,-78,-74,-27,-27,,,,
0.9,5,-88.4,-85.2,-186.1,-27,,,,
0.9,25,-107.1,-99.4,-185.9,-26,,,,
0.9,125,-104.3,-98.7,-187,-27,,,,
