tau,data_size,beta,method1,method2,distances
0.1,5,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.1,5,0.01,tabular_EDAC,tabular_robustEDAC,"[1.3466540600843033, 0.5783625649924591, 1.5227755786146913]"
0.1,5,0.01,tabular_EDAC,true_model,"[1.3442527082841307, 0.5798942552928571, 2.5511479735769385]"
0.1,5,0.01,tabular_EDAC,VI_model,"[2.7878750322753802, 2.2236532333204577, 2.1332433831871467]"
0.1,5,0.01,tabular_robustEDAC,tabular_EDAC,"[1.3466540600843033, 0.5783625649924591, 1.5227755786146913]"
0.1,5,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.1,5,0.01,tabular_robustEDAC,true_model,"[1.95181172898597, 0.004672782557983446, 2.0230402501532238]"
0.1,5,0.01,tabular_robustEDAC,VI_model,"[2.1947693851490626, 2.248159068209548, 1.4525373327493907]"
0.1,5,0.01,true_model,tabular_EDAC,"[1.3442527082841307, 0.5798942552928571, 2.5511479735769385]"
0.1,5,0.01,true_model,tabular_robustEDAC,"[1.95181172898597, 0.004672782557983446, 2.0230402501532238]"
0.1,5,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.1,5,0.01,true_model,VI_model,"[2.449489742783178, 2.449489742783178, 2.449489742783178]"
0.1,5,0.01,VI_model,tabular_EDAC,"[2.7878750322753802, 2.2236532333204577, 2.1332433831871467]"
0.1,5,0.01,VI_model,tabular_robustEDAC,"[2.1947693851490626, 2.248159068209548, 1.4525373327493907]"
0.1,5,0.01,VI_model,true_model,"[2.449489742783178, 2.449489742783178, 2.449489742783178]"
0.1,5,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.1,5,0.01,tabular_EDAC,random_policy,"[2.209479385788851, 2.030246208280947, 1.9248524337533977]"
0.1,5,0.01,tabular_robustEDAC,random_policy,"[2.1753031686955078, 2.2330633781454443, 1.739319903123431]"
0.1,5,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.1,5,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.1,25,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.1,25,0.01,tabular_EDAC,tabular_robustEDAC,"[0.14490380876851092, 0.4392350540589083, 0.3692887108946056]"
0.1,25,0.01,tabular_EDAC,true_model,"[0.2655793831881002, 1.2618539362415426, 0.5944289017065993]"
0.1,25,0.01,tabular_EDAC,VI_model,"[2.329607094065266, 2.2260251008476706, 2.075474404760311]"
0.1,25,0.01,tabular_robustEDAC,tabular_EDAC,"[0.14490380876851092, 0.4392350540589083, 0.3692887108946056]"
0.1,25,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.1,25,0.01,tabular_robustEDAC,true_model,"[0.35077999375512087, 1.5081438173692114, 0.39300282045316354]"
0.1,25,0.01,tabular_robustEDAC,VI_model,"[2.0937899745425977, 1.8421345210027813, 2.1637925990696876]"
0.1,25,0.01,true_model,tabular_EDAC,"[0.2655793831881002, 1.2618539362415426, 0.5944289017065993]"
0.1,25,0.01,true_model,tabular_robustEDAC,"[0.35077999375512087, 1.5081438173692114, 0.39300282045316354]"
0.1,25,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.1,25,0.01,true_model,VI_model,"[2.449489742783178, 2.449489742783178, 2.449489742783178]"
0.1,25,0.01,VI_model,tabular_EDAC,"[2.329607094065266, 2.2260251008476706, 2.075474404760311]"
0.1,25,0.01,VI_model,tabular_robustEDAC,"[2.1937899745425977, 1.8421345210027813, 2.1637925990696876]"
0.1,25,0.01,VI_model,true_model,"[2.449489742783178, 2.449489742783178, 2.449489742783178]"
0.1,25,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.1,25,0.01,tabular_EDAC,random_policy,"[2.072938416960114, 1.9125544252150024, 1.910458967261073]"
0.1,25,0.01,tabular_robustEDAC,random_policy,"[2.0735381735000376, 2.056438302631629, 2.045397785636146]"
0.1,25,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.1,25,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.1,125,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.1,125,0.01,tabular_EDAC,tabular_robustEDAC,"[0.08467241187112512, 0.6554551583080072, 0.4139267066025707]"
0.1,125,0.01,tabular_EDAC,true_model,"[0.24447790725688145, 0.9552225866675857, 0.7375759634655925]"
0.1,125,0.01,tabular_EDAC,VI_model,"[2.318630257922599, 1.7480733434001707, 1.7341087106236581]"
0.1,125,0.01,tabular_robustEDAC,tabular_EDAC,"[0.08467241187112512, 0.6554551583080072, 0.4139267066025707]"
0.1,125,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.1,125,0.01,tabular_robustEDAC,true_model,"[0.20765179903950012, 0.38118671051054, 0.5326836340717975]"
0.1,125,0.01,tabular_robustEDAC,VI_model,"[1.8070823166955283, 1.9207522583807857, 2.007492667261169]"
0.1,125,0.01,true_model,tabular_EDAC,"[0.24447790725688145, 0.9552225866675857, 0.7375759634655925]"
0.1,125,0.01,true_model,tabular_robustEDAC,"[0.20765179903950012, 0.38118671051054, 0.5326836340717975]"
0.1,125,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.1,125,0.01,true_model,VI_model,"[2.449489742783178, 2.449489742783178, 2.449489742783178]"
0.1,125,0.01,VI_model,tabular_EDAC,"[2.318630257922599, 1.7480733434001707, 1.7341087106236581]"
0.1,125,0.01,VI_model,tabular_robustEDAC,"[1.8070823166955283, 1.9207522583807857, 2.007492667261169]"
0.1,125,0.01,VI_model,true_model,"[2.449489742783178, 2.449489742783178, 2.449489742783178]"
0.1,125,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.1,125,0.01,tabular_EDAC,random_policy,"[2.0834828879294487, 1.6863349811461756, 1.9070025323710553]"
0.1,125,0.01,tabular_robustEDAC,random_policy,"[2.116469413774379, 2.0438008138937063, 1.9611290757629627]"
0.1,125,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.1,125,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.5,5,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.5,5,0.01,tabular_EDAC,tabular_robustEDAC,"[1.9986365697660544, 2.371599315020464, 2.175023332885809]"
0.5,5,0.01,tabular_EDAC,true_model,"[3.239093540897741, 2.523473189567684, 2.200248969684305]"
0.5,5,0.01,tabular_EDAC,VI_model,"[3.239093540897741, 2.523473189567684, 2.200248969684305]"
