method1,method2,tau_data_size,mean_distance,std_distance
tabular_EDAC,tabular_robustEDAC,0.1_5,{0.1: 0.4529245316344518},{0.1: 0.25556894413057274}
tabular_EDAC,true_model,0.1_5,{0.1: 1.4830978148305545},{0.1: 0.3692820431678246}
tabular_EDAC,VI_model,0.1_5,{0.1: 1.6432568695034035},{0.1: 0.21065544832337552}
tabular_EDAC,random_model,0.1_5,{0.1: 1.5529018354850836},{0.1: 0.19911557756325088}
tabular_robustEDAC,tabular_EDAC,0.1_5,{},{}
tabular_robustEDAC,true_model,0.1_5,{0.1: 1.4501724696752203},{0.1: 0.42723389580126636}
tabular_robustEDAC,VI_model,0.1_5,{0.1: 1.6155606027749418},{0.1: 0.2860066498043938}
tabular_robustEDAC,random_model,0.1_5,{0.1: 1.6001542175423098},{0.1: 0.21101468977972263}
true_model,tabular_EDAC,0.1_5,{},{}
true_model,tabular_robustEDAC,0.1_5,{},{}
true_model,VI_model,0.1_5,{0.1: 1.4142135623730954},{0.1: 2.220446049250313e-16}
true_model,random_model,0.1_5,{0.1: 2.23606797749979},{0.1: 0.0}
VI_model,tabular_EDAC,0.1_5,{},{}
VI_model,tabular_robustEDAC,0.1_5,{},{}
VI_model,true_model,0.1_5,{},{}
VI_model,random_model,0.1_5,{0.1: 2.23606797749979},{0.1: 0.0}
random_model,tabular_EDAC,0.1_5,{},{}
random_model,tabular_robustEDAC,0.1_5,{},{}
random_model,true_model,0.1_5,{},{}
random_model,VI_model,0.1_5,{},{}
tabular_EDAC,tabular_robustEDAC,0.1_25,{0.1: 0.17377396358642533},{0.1: 0.0849563827419743}
tabular_EDAC,true_model,0.1_25,{0.1: 1.63391275135582},{0.1: 0.08497980449785919}
tabular_EDAC,VI_model,0.1_25,{0.1: 1.7403104692065792},{0.1: 0.17375564777468555}
tabular_EDAC,random_model,0.1_25,{0.1: 1.1389531566709974},{0.1: 0.12711693707811506}
tabular_robustEDAC,tabular_EDAC,0.1_25,{},{}
tabular_robustEDAC,true_model,0.1_25,{0.1: 1.6168069964915333},{0.1: 0.0922490548718746}
tabular_robustEDAC,VI_model,0.1_25,{0.1: 1.7176079170913912},{0.1: 0.17275158970631302}
tabular_robustEDAC,random_model,0.1_25,{0.1: 1.1397722659389666},{0.1: 0.1506518295749978}
true_model,tabular_EDAC,0.1_25,{},{}
true_model,tabular_robustEDAC,0.1_25,{},{}
true_model,VI_model,0.1_25,{0.1: 1.4142135623730954},{0.1: 2.220446049250313e-16}
true_model,random_model,0.1_25,{0.1: 2.23606797749979},{0.1: 0.0}
VI_model,tabular_EDAC,0.1_25,{},{}
VI_model,tabular_robustEDAC,0.1_25,{},{}
VI_model,true_model,0.1_25,{},{}
VI_model,random_model,0.1_25,{0.1: 2.23606797749979},{0.1: 0.0}
random_model,tabular_EDAC,0.1_25,{},{}
random_model,tabular_robustEDAC,0.1_25,{},{}
random_model,true_model,0.1_25,{},{}
random_model,VI_model,0.1_25,{},{}
tabular_EDAC,tabular_robustEDAC,0.1_125,{0.1: 0.172330091808332},{0.1: 0.06803178857704113}
tabular_EDAC,true_model,0.1_125,{0.1: 1.7152990081858472},{0.1: 0.028610531315852804}
tabular_EDAC,VI_model,0.1_125,{0.1: 1.7161568442976407},{0.1: 0.04316901547918675}
tabular_EDAC,random_model,0.1_125,{0.1: 0.914441720381881},{0.1: 0.08871629652734334}
tabular_robustEDAC,tabular_EDAC,0.1_125,{},{}
tabular_robustEDAC,true_model,0.1_125,{0.1: 1.7066968961571707},{0.1: 0.028372368816254684}
tabular_robustEDAC,VI_model,0.1_125,{0.1: 1.7165142754778007},{0.1: 0.022854983205118994}
tabular_robustEDAC,random_model,0.1_125,{0.1: 0.9227603641458325},{0.1: 0.06788972906361426}
true_model,tabular_EDAC,0.1_125,{},{}
true_model,tabular_robustEDAC,0.1_125,{},{}
true_model,VI_model,0.1_125,{0.1: 1.4142135623730954},{0.1: 2.220446049250313e-16}
true_model,random_model,0.1_125,{0.1: 2.23606797749979},{0.1: 0.0}
VI_model,tabular_EDAC,0.1_125,{},{}
VI_model,tabular_robustEDAC,0.1_125,{},{}
VI_model,true_model,0.1_125,{},{}
VI_model,random_model,0.1_125,{0.1: 2.23606797749979},{0.1: 0.0}
random_model,tabular_EDAC,0.1_125,{},{}
