state,1,2,3,4
0.06,0.003062491,0.003062491,7.01E-08,7.01E-08
0.19,-0.999980884,-0.999980884,-9.44E-01,-9.44E-01
0.19,0.457712307,0.457712307,8.92E-02,8.92E-02
0.17,4.95198E-07,4.95198E-07,1.00E+00,1.00E+00
0.15,0.742682635,0.742682635,1.00E+00,1.00E+00
0.13,0.141649875,-0.858350125,4.65E-01,-5.35E-01
0.06,-4.85211E-07,-4.85211E-07,-8.57E-07,-8.57E-07
0.04,-0.695952691,-0.695952691,-9.07E-09,-9.07E-09
0.01,-0.999687977,-0.999687977,-1.00E+00,-1.00E+00
0,-0.000143799,-0.000143799,-1.00E+00,-1.00E+00
0.06,0.999995064,0.999995064,1.00E+00,1.00E+00
0.19,-4.44254E-06,-4.44254E-06,-9.98E-01,-9.98E-01
0.19,0.999952697,0.999952697,9.38E-07,9.38E-07
0.17,0.999996497,0.999996497,4.84E-03,4.84E-03
0.17,0.999944749,0.999944749,1.00E+00,1.00E+00
0.14,0.44812513,-0.55187487,3.88E-04,-1.00E+00
0.06,-0.999998746,-0.999998746,-1.00E+00,-1.00E+00
0.02,-0.000110643,-0.000110643,-9.77E-01,-9.77E-01
0.01,-0.000349615,-0.000349615,-1.07E-02,-1.07E-02
0,-0.003151044,-0.003151044,-1.00E+00,-1.00E+00
