tau,df,target_variable,p_value,sum
0.1,5,EDAC_behv,6.896484705295364e-05,0.5837403810000001
0.1,5,EDAC_VI,0.0013817859807521244,-2.416259619
0.1,5,RobustEDAC_behv,9.453258610799429e-05,1.1971076346666667
0.1,5,RobustEDAC_VI,0.004197389184829838,-1.8028923653333329
0.1,25,EDAC_behv,4.315090808853732e-05,3.987216826500001
0.1,25,EDAC_VI,0.00040056283588241665,1.9872168265
0.1,25,RobustEDAC_behv,3.0316457249494492e-05,4.012346202000001
0.1,25,RobustEDAC_VI,0.0003216017310123264,2.0123462020000003
0.1,125,EDAC_behv,3.7077943981356994e-06,2.7266029565
0.1,125,EDAC_VI,5.4040761483504464e-05,0.7266029565000001
0.1,125,RobustEDAC_behv,5.572340523495292e-06,3.0655326444999997
0.1,125,RobustEDAC_VI,6.47611815713458e-05,1.0655326444999997
0.5,5,EDAC_behv,0.008174275034996696,2.6411666035
0.5,5,EDAC_VI,0.008174275034996696,2.6411666035
0.5,5,RobustEDAC_behv,0.01427442625458859,2.9393647420000004
0.5,5,RobustEDAC_VI,0.01427442625458859,2.9393647420000004
0.5,25,EDAC_behv,4.441057992041465e-07,2.7417495005
0.5,25,EDAC_VI,4.441057992041465e-07,2.7417495005
0.5,25,RobustEDAC_behv,6.18965254921811e-07,2.759002124
0.5,25,RobustEDAC_VI,6.18965254921811e-07,2.759002124
0.5,125,EDAC_behv,3.980537871571185e-08,3.214026187166667
0.5,125,EDAC_VI,3.980537871571185e-08,3.214026187166667
0.5,125,RobustEDAC_behv,5.3446753714727545e-08,2.9013061175
0.5,125,RobustEDAC_VI,5.3446753714727545e-08,2.9013061175
0.9,5,EDAC_behv,0.5217517230161751,-5.040787709783334
0.9,5,EDAC_VI,0.1776620776533027,3.54254562355
0.9,5,RobustEDAC_behv,0.3361922007630779,-4.385689801383333
0.9,5,RobustEDAC_VI,0.19024853145403348,4.197643531950001
0.9,25,EDAC_behv,0.0001631499848127164,-3.423522314166667
0.9,25,EDAC_VI,0.19769771007362075,4.576477685833334
0.9,25,RobustEDAC_behv,0.00010746480983209769,-3.2634043275
0.9,25,RobustEDAC_VI,0.2163873991433335,4.7365956725
0.9,125,EDAC_behv,0.001917541297837496,-3.6548998289999997
0.9,125,EDAC_VI,0.057452859436359215,3.411766837666667
0.9,125,RobustEDAC_behv,0.0009619623725189734,-3.6844149369
0.9,125,RobustEDAC_VI,0.08418968609039798,3.3822517297666663
